Codes,Names,Level_4_qualifications,Mean_Annual_Household_Income
E01003224,Lewisham 022E,2252.00 ,2609.00 
E01003263,Lewisham 023A,1632.00 ,1698.00 
E01003268,Lewisham 023B,2451.00 ,2711.00 
E01003269,Lewisham 023C,1849.00 ,2347.00 
E01003270,Lewisham 023D,2615.00 ,3439.00 
E01003271,Lewisham 023E,2401.00 ,3923.00 
E01003307,Lewisham 024A,2531.00 ,2833.00 
E01003308,Lewisham 024B,3236.00 ,2957.00 
E01003314,Lewisham 024C,3295.00 ,3615.00 
E01003315,Lewisham 024D,2981.00 ,2966.00 
E01003316,Lewisham 024E,2652.00 ,3565.00 
E01003216,Lewisham 025A,2823.00 ,2948.00 
E01003219,Lewisham 025B,2203.00 ,3043.00 
E01003221,Lewisham 025C,2921.00 ,2311.00 
E01003223,Lewisham 025D,2298.00 ,3252.00 
E01003346,Lewisham 026A,344.00 ,1110.00 
E01003349,Lewisham 026B,230.00 ,1084.00 
E01003351,Lewisham 026C,194.00 ,740.00 
E01003354,Lewisham 026D,1943.00 ,2253.00 
E01003309,Lewisham 027A,1558.00 ,958.00 
E01003310,Lewisham 027B,2801.00 ,1700.00 
E01003311,Lewisham 027C,2831.00 ,3519.00 
E01003312,Lewisham 027D,3449.00 ,3166.00 
E01003313,Lewisham 027E,1744.00 ,1578.00 
E01003256,Lewisham 028A,3852.00 ,1699.00 
E01003257,Lewisham 028B,3077.00 ,2521.00 
E01003258,Lewisham 028C,1072.00 ,845.00 
E01003259,Lewisham 028D,3460.00 ,3379.00 
E01003193,Lewisham 029A,1216.00 ,1780.00 
E01003194,Lewisham 029B,1141.00 ,1376.00 
E01003195,Lewisham 029C,1648.00 ,2343.00 
E01003196,Lewisham 029D,451.00 ,646.00 
E01003197,Lewisham 029E,730.00 ,586.00 
E01003347,Lewisham 030A,219.00 ,349.00 
E01003348,Lewisham 030B,495.00 ,1671.00 
E01003350,Lewisham 030C,243.00 ,921.00 
E01003352,Lewisham 030D,962.00 ,1453.00 
E01003353,Lewisham 030E,1507.00 ,2275.00 
E01003264,Lewisham 031A,1515.00 ,2026.00 
E01003265,Lewisham 031B,1012.00 ,1131.00 
E01003266,Lewisham 031C,742.00 ,641.00 
E01003267,Lewisham 031D,308.00 ,1071.00 
E01003329,Lewisham 033A,2608.00 ,3097.00 
E01003330,Lewisham 033B,1175.00 ,1278.00 
E01003331,Lewisham 033C,1736.00 ,1932.00 
E01003332,Lewisham 033D,2502.00 ,2158.00 
E01003334,Lewisham 033E,2734.00 ,1927.00 
E01003189,Lewisham 034A,423.00 ,610.00 
E01003190,Lewisham 034B,1106.00 ,709.00 
E01003191,Lewisham 034C,423.00 ,696.00 
E01003192,Lewisham 034D,423.00 ,323.00 
E01003326,Lewisham 035A,1708.00 ,2344.00 
E01003327,Lewisham 035B,3295.00 ,3079.00 
E01003328,Lewisham 035C,3320.00 ,2618.00 
E01003333,Lewisham 035D,2277.00 ,2033.00 
E01003335,Lewisham 035E,1141.00 ,1974.00 
E01003236,Lewisham 037A,329.00 ,956.00 
E01003237,Lewisham 037B,222.00 ,620.00 
E01003238,Lewisham 037C,123.00 ,995.00 
E01003239,Lewisham 037D,123.00 ,955.00 
E01032564,Lewisham 037E,71.00 ,834.00 
E01003235,Lewisham 038A,434.00 ,2161.00 
E01003240,Lewisham 038B,566.00 ,813.00 
E01003241,Lewisham 038C,1040.00 ,1292.00 
E01003243,Lewisham 038D,243.00 ,658.00 
E01032565,Lewisham 038E,112.00 ,559.00 
E01003298,Lewisham 039A,895.00 ,778.00 
E01003300,Lewisham 039B,730.00 ,510.00 
E01003303,Lewisham 039C,1463.00 ,712.00 
E01003304,Lewisham 039D,3427.00 ,539.00 
E01032579,Lewisham 039E,2344.00 ,555.00 
E01003543,Newham 001A,3702.00 ,2606.00 
E01003544,Newham 001B,2365.00 ,1075.00 
E01003546,Newham 001C,1693.00 ,781.00 
E01003550,Newham 001D,2410.00 ,1473.00 
E01003576,Newham 002A,1362.00 ,183.00 
E01003581,Newham 002B,988.00 ,541.00 
E01003582,Newham 002C,800.00 ,447.00 
E01003583,Newham 002D,1474.00 ,558.00 
E01003578,Newham 003A,2034.00 ,446.00 
E01003584,Newham 003B,2689.00 ,2856.00 
E01003586,Newham 003C,1966.00 ,887.00 
E01003590,Newham 003D,1488.00 ,869.00 
E01003579,Newham 004A,1322.00 ,751.00 
E01003585,Newham 004B,1028.00 ,550.00 
E01003587,Newham 004C,3423.00 ,858.00 
E01003591,Newham 004D,2720.00 ,207.00 
E01003528,Newham 005A,705.00 ,301.00 
E01003575,Newham 005B,962.00 ,642.00 
E01003577,Newham 005C,755.00 ,123.00 
E01003580,Newham 005D,910.00 ,565.00 
E01003545,Newham 006A,1849.00 ,1035.00 
E01003548,Newham 006B,3427.00 ,1067.00 
E01003549,Newham 006C,3268.00 ,966.00 
E01003557,Newham 006D,2720.00 ,1014.00 
E01003547,Newham 007A,3392.00 ,3136.00 
E01003555,Newham 007B,2492.00 ,2973.00 
E01003561,Newham 007C,2286.00 ,666.00 
E01003567,Newham 007D,1819.00 ,433.00 
E01003556,Newham 008A,1911.00 ,601.00 
E01003558,Newham 008B,1206.00 ,456.00 
E01003570,Newham 008C,2277.00 ,407.00 
E01003571,Newham 008D,3006.00 ,622.00 
E01003572,Newham 008E,1206.00 ,1134.00 
E01003551,Newham 009A,2758.00 ,1525.00 
E01003553,Newham 009B,2223.00 ,528.00 
E01003554,Newham 009C,3092.00 ,2503.00 
E01003559,Newham 009D,4612.00 ,3072.00 
E01003529,Newham 010A,3304.00 ,1186.00 
E01003530,Newham 010B,2652.00 ,1174.00 
E01003531,Newham 010C,2844.00 ,908.00 
E01003532,Newham 010D,2879.00 ,1467.00 
E01003534,Newham 010E,2741.00 ,753.00 
E01003533,Newham 011A,2130.00 ,924.00 
E01003560,Newham 011B,1668.00 ,537.00 
E01003563,Newham 011C,1957.00 ,665.00 
E01003588,Newham 011D,1622.00 ,393.00 
E01003589,Newham 011E,2197.00 ,953.00 
E01003616,Newham 012A,2440.00 ,977.00 
E01003617,Newham 012B,4688.00 ,2350.00 
E01003618,Newham 012C,4213.00 ,2600.00 
E01003619,Newham 012D,4194.00 ,1802.00 
E01003615,Newham 013C,2265.00 ,1364.00 
E01033578,Newham 013E,2946.00 ,2613.00 
E01033579,Newham 013F,3561.00 ,3309.00 
E01033583,Newham 013G,4665.00 ,2205.00 
E01033586,Newham 013H,2089.00 ,1979.00 
E01003562,Newham 014A,2936.00 ,741.00 
E01003564,Newham 014B,3482.00 ,916.00 
E01003565,Newham 014C,2467.00 ,876.00 
E01003566,Newham 014D,1990.00 ,699.00 
E01003625,Newham 015A,1528.00 ,728.00 
E01003626,Newham 015B,2106.00 ,1559.00 
E01003627,Newham 015C,1905.00 ,864.00 
E01003628,Newham 015D,2265.00 ,1860.00 
E01003629,Newham 015E,1600.00 ,718.00 
E01003552,Newham 016A,1728.00 ,1654.00 
E01003596,Newham 016B,2009.00 ,1461.00 
E01003597,Newham 016C,1072.00 ,1036.00 
E01003635,Newham 016D,2936.00 ,2321.00 
E01003568,Newham 017A,3006.00 ,987.00 
E01003569,Newham 017B,2883.00 ,485.00 
E01003573,Newham 017C,2559.00 ,841.00 
E01003574,Newham 017D,3595.00 ,706.00 
E01003520,Newham 018A,3148.00 ,769.00 
E01003521,Newham 018B,4063.00 ,1140.00 
E01003522,Newham 018C,2373.00 ,946.00 
E01003525,Newham 018D,2748.00 ,1259.00 
E01003526,Newham 018E,2078.00 ,880.00 
E01003488,Newham 019A,973.00 ,196.00 
E01003489,Newham 019B,1206.00 ,85.00 
E01003490,Newham 019C,1831.00 ,459.00 
E01003524,Newham 019D,2313.00 ,284.00 
E01003631,Newham 020A,2623.00 ,1502.00 
E01003632,Newham 020B,2780.00 ,1731.00 
E01003633,Newham 020C,1197.00 ,190.00 
E01003634,Newham 020D,1587.00 ,422.00 
E01003636,Newham 020E,1990.00 ,668.00 
E01003598,Newham 021A,1642.00 ,318.00 
E01003600,Newham 021B,1243.00 ,506.00 
E01003630,Newham 021C,2236.00 ,656.00 
E01003637,Newham 021D,2844.00 ,1679.00 
E01003491,Newham 022A,2926.00 ,216.00 
E01003592,Newham 022B,1819.00 ,698.00 
E01003599,Newham 022C,1191.00 ,401.00 
E01003606,Newham 022D,2027.00 ,855.00 
E01003535,Newham 023A,413.00 ,238.00 
E01003536,Newham 023B,1378.00 ,1363.00 
E01003621,Newham 023C,1062.00 ,1120.00 
E01003622,Newham 023D,1141.00 ,599.00 
E01003623,Newham 023E,1062.00 ,385.00 
E01003523,Newham 024A,2173.00 ,697.00 
E01003527,Newham 024B,1857.00 ,2520.00 
E01003537,Newham 024C,2034.00 ,1552.00 
E01003542,Newham 024D,779.00 ,377.00 
E01003624,Newham 024E,910.00 ,796.00 
E01003492,Newham 025A,2085.00 ,1077.00 
E01003493,Newham 025B,2844.00 ,833.00 
E01003494,Newham 025C,2381.00 ,2124.00 
E01003495,Newham 025D,2419.00 ,2743.00 
E01003594,Newham 026A,1715.00 ,822.00 
E01003595,Newham 026B,1028.00 ,395.00 
E01003602,Newham 026C,2113.00 ,808.00 
E01003607,Newham 026D,1322.00 ,649.00 
E01003496,Newham 027A,1866.00 ,948.00 
E01003498,Newham 027B,1446.00 ,394.00 
E01003500,Newham 027C,1612.00 ,758.00 
E01003593,Newham 027D,824.00 ,354.00 
E01003601,Newham 028A,1409.00 ,613.00 
E01003603,Newham 028B,1668.00 ,1433.00 
E01003605,Newham 028C,1966.00 ,384.00 
E01003608,Newham 028D,2391.00 ,2073.00 
E01003538,Newham 029A,1668.00 ,509.00 
E01003539,Newham 029B,2265.00 ,1351.00 
E01003540,Newham 029C,597.00 ,475.00 
E01003541,Newham 029D,1116.00 ,1247.00 
E01003499,Newham 030A,1340.00 ,137.00 
E01003501,Newham 030B,1008.00 ,408.00 
E01003502,Newham 030C,1322.00 ,322.00 
E01003503,Newham 030D,1040.00 ,256.00 
E01003507,Newham 031A,1911.00 ,670.00 
E01003508,Newham 031B,689.00 ,410.00 
E01003509,Newham 031C,1012.00 ,414.00 
E01003604,Newham 031D,1966.00 ,793.00 
E01003483,Newham 032A,641.00 ,839.00 
E01003484,Newham 032B,1842.00 ,2553.00 
E01003516,Newham 032C,696.00 ,321.00 
E01003518,Newham 032D,1340.00 ,2653.00 
E01003519,Newham 032E,1156.00 ,877.00 
E01003480,Newham 033A,2078.00 ,1808.00 
E01003482,Newham 033B,4308.00 ,3002.00 
E01003486,Newham 033C,108.00 ,176.00 
E01003487,Newham 033D,222.00 ,609.00 
E01003497,Newham 034A,705.00 ,504.00 
E01003506,Newham 034D,443.00 ,390.00 
E01033574,Newham 034F,3823.00 ,4191.00 
E01033575,Newham 034G,3540.00 ,3971.00 
E01033576,Newham 034H,2959.00 ,2764.00 
E01033584,Newham 034I,883.00 ,490.00 
E01033585,Newham 034J,3223.00 ,767.00 
E01003479,Newham 035A,1266.00 ,1992.00 
E01003481,Newham 035B,1028.00 ,1046.00 
E01003485,Newham 035C,1175.00 ,2277.00 
E01003513,Newham 035D,1668.00 ,2783.00 
E01003511,Newham 036A,112.00 ,302.00 
E01003512,Newham 036B,730.00 ,604.00 
E01003514,Newham 036C,465.00 ,553.00 
E01003515,Newham 036D,1175.00 ,353.00 
E01003517,Newham 036E,846.00 ,750.00 
E01003609,Newham 037A,4231.00 ,2598.00 
E01003611,Newham 037C,1166.00 ,399.00 
E01033577,Newham 037E,3304.00 ,4008.00 
E01033580,Newham 037F,4255.00 ,4357.00 
E01033581,Newham 037G,1917.00 ,1879.00 
E01033582,Newham 037H,3570.00 ,3783.00 
E01004029,Southwark 001A,4615.00 ,4059.00 
E01004032,Southwark 001B,4655.00 ,4472.00 
E01004053,Southwark 001C,4742.00 ,4524.00 
E01004054,Southwark 001D,4651.00 ,4505.00 
E01004055,Southwark 001E,230.00 ,1553.00 
E01003927,Southwark 002A,4786.00 ,3419.00 
E01003929,Southwark 002B,4795.00 ,3812.00 
E01003934,Southwark 002C,3670.00 ,3732.00 
E01003935,Southwark 002D,2480.00 ,3445.00 
E01003939,Southwark 002E,4643.00 ,3402.00 
E01003976,Southwark 003A,4049.00 ,2430.00 
E01004027,Southwark 003E,4618.00 ,2726.00 
E01032637,Southwark 003F,4693.00 ,4711.00 
E01032638,Southwark 003G,4444.00 ,4766.00 
E01032640,Southwark 003H,4609.00 ,4733.00 
E01032646,Southwark 003I,4647.00 ,4334.00 
E01032803,Southwark 003J,4547.00 ,4445.00 
E01032834,Southwark 003K,4395.00 ,4767.00 
E01003975,Southwark 004A,1678.00 ,945.00 
E01003978,Southwark 004B,4255.00 ,2754.00 
E01004022,Southwark 004C,4579.00 ,2206.00 
E01004023,Southwark 004D,2147.00 ,1644.00 
E01004028,Southwark 004E,2801.00 ,1722.00 
E01003938,Southwark 006A,3876.00 ,1961.00 
E01003940,Southwark 006B,1819.00 ,1038.00 
E01003941,Southwark 006C,4639.00 ,3560.00 
E01003942,Southwark 006D,3029.00 ,1159.00 
E01003979,Southwark 006E,3711.00 ,2695.00 
E01003981,Southwark 006F,3838.00 ,2200.00 
E01004030,Southwark 007A,3362.00 ,2482.00 
E01004031,Southwark 007B,3964.00 ,2342.00 
E01004033,Southwark 007C,2365.00 ,1416.00 
E01004034,Southwark 007D,1457.00 ,1204.00 
E01004036,Southwark 007E,2323.00 ,710.00 
E01004056,Southwark 008A,4559.00 ,3616.00 
E01004057,Southwark 008B,3354.00 ,3617.00 
E01004058,Southwark 008C,4785.00 ,4600.00 
E01004059,Southwark 008D,4709.00 ,4423.00 
E01004060,Southwark 008E,3802.00 ,2126.00 
E01003936,Southwark 009A,4657.00 ,4604.00 
E01003937,Southwark 009B,4470.00 ,3316.00 
E01003943,Southwark 009C,1402.00 ,897.00 
E01032720,Southwark 009F,2801.00 ,1169.00 
E01003977,Southwark 010A,1632.00 ,922.00 
E01004037,Southwark 010B,3122.00 ,1397.00 
E01004038,Southwark 010C,3452.00 ,1968.00 
E01004042,Southwark 010D,1191.00 ,472.00 
E01004043,Southwark 010E,1457.00 ,2185.00 
E01003986,Southwark 011A,303.00 ,304.00 
E01003987,Southwark 011B,1397.00 ,684.00 
E01004024,Southwark 011C,2020.00 ,400.00 
E01004035,Southwark 011D,1340.00 ,732.00 
E01003960,Southwark 012A,3590.00 ,1868.00 
E01003961,Southwark 012B,2153.00 ,458.00 
E01003994,Southwark 012E,2142.00 ,993.00 
E01032722,Southwark 012F,3678.00 ,1478.00 
E01003980,Southwark 013A,2844.00 ,1286.00 
E01004039,Southwark 013B,2615.00 ,1849.00 
E01004040,Southwark 013C,1966.00 ,218.00 
E01004041,Southwark 013D,1081.00 ,784.00 
E01004044,Southwark 013E,658.00 ,1076.00 
E01003992,Southwark 014A,1175.00 ,890.00 
E01003995,Southwark 014B,2419.00 ,1619.00 
E01003998,Southwark 014D,3176.00 ,3110.00 
E01003999,Southwark 014E,2508.00 ,1857.00 
E01032639,Southwark 014F,3829.00 ,2379.00 
E01032719,Southwark 014G,1657.00 ,1531.00 
E01003964,Southwark 015A,2792.00 ,1742.00 
E01003966,Southwark 015B,2277.00 ,866.00 
E01003968,Southwark 015C,538.00 ,281.00 
E01003971,Southwark 015D,721.00 ,211.00 
E01003974,Southwark 015E,243.00 ,443.00 
E01003963,Southwark 016A,1156.00 ,359.00 
E01003967,Southwark 016B,1266.00 ,257.00 
E01003970,Southwark 016C,742.00 ,611.00 
E01003972,Southwark 016D,2335.00 ,1439.00 
E01003973,Southwark 016E,1693.00 ,950.00 
E01003923,Southwark 017A,3629.00 ,2470.00 
E01003969,Southwark 017B,3392.00 ,1967.00 
E01003991,Southwark 017C,558.00 ,396.00 
E01003993,Southwark 017D,1276.00 ,779.00 
E01003997,Southwark 017E,1966.00 ,2155.00 
E01003983,Southwark 018A,1166.00 ,296.00 
E01003988,Southwark 018B,2644.00 ,651.00 
E01003989,Southwark 018C,1849.00 ,600.00 
E01003990,Southwark 018D,2536.00 ,826.00 
E01004007,Southwark 018E,285.00 ,554.00 
E01003912,Southwark 019A,824.00 ,329.00 
E01004011,Southwark 019B,2323.00 ,690.00 
E01004012,Southwark 019C,3802.00 ,1605.00 
E01004013,Southwark 019D,1488.00 ,795.00 
E01004014,Southwark 019E,1693.00 ,657.00 
E01003911,Southwark 020A,3205.00 ,1561.00 
E01003916,Southwark 020B,3983.00 ,2074.00 
E01003917,Southwark 020C,3223.00 ,1954.00 
E01003918,Southwark 020D,1303.00 ,694.00 
E01003925,Southwark 020E,689.00 ,962.00 
E01003919,Southwark 021A,3552.00 ,2450.00 
E01003920,Southwark 021B,2286.00 ,632.00 
E01003921,Southwark 021C,1728.00 ,1082.00 
E01003922,Southwark 021D,2895.00 ,1305.00 
E01003924,Southwark 021E,2009.00 ,398.00 
E01003926,Southwark 021F,1340.00 ,1139.00 
E01004008,Southwark 022B,2545.00 ,873.00 
E01004010,Southwark 022D,1657.00 ,1177.00 
E01004067,Southwark 022E,2990.00 ,1257.00 
E01032805,Southwark 022F,3025.00 ,733.00 
E01003984,Southwark 023A,3343.00 ,1326.00 
E01004003,Southwark 023B,1587.00 ,875.00 
E01004004,Southwark 023C,4359.00 ,1635.00 
E01004005,Southwark 023D,2748.00 ,621.00 
E01004006,Southwark 023E,3268.00 ,1824.00 
E01003913,Southwark 024A,4291.00 ,3712.00 
E01003914,Southwark 024B,4063.00 ,3224.00 
E01003915,Southwark 024C,3384.00 ,1759.00 
E01004050,Southwark 024D,4175.00 ,4104.00 
E01004052,Southwark 024E,4490.00 ,4057.00 
E01004061,Southwark 025A,4251.00 ,3838.00 
E01004062,Southwark 025B,3452.00 ,1809.00 
E01004063,Southwark 025C,4400.00 ,3238.00 
E01004065,Southwark 025D,3795.00 ,3973.00 
E01004066,Southwark 025E,3947.00 ,2087.00 
E01004000,Southwark 026A,2917.00 ,1630.00 
E01004001,Southwark 026B,1409.00 ,1041.00 
E01004019,Southwark 026C,4170.00 ,2499.00 
E01004064,Southwark 026D,2523.00 ,1432.00 
E01004068,Southwark 026E,2570.00 ,1332.00 
E01004045,Southwark 027A,1106.00 ,999.00 
E01004047,Southwark 027B,1331.00 ,933.00 
E01004048,Southwark 027C,3491.00 ,3575.00 
E01004049,Southwark 027D,2216.00 ,1923.00 
E01004051,Southwark 027E,4036.00 ,4184.00 
E01003953,Southwark 028A,4760.00 ,4028.00 
E01003955,Southwark 028B,4418.00 ,3834.00 
E01004015,Southwark 028C,3790.00 ,3962.00 
E01004021,Southwark 028D,4781.00 ,3897.00 
E01004046,Southwark 028E,4245.00 ,3990.00 
E01004002,Southwark 029A,3268.00 ,3481.00 
E01004016,Southwark 029B,4233.00 ,3095.00 
E01004017,Southwark 029C,3441.00 ,4019.00 
E01004020,Southwark 029D,2307.00 ,1568.00 
E01003952,Southwark 030A,4187.00 ,4242.00 
E01003954,Southwark 030B,4026.00 ,4081.00 
E01003956,Southwark 030C,4326.00 ,4285.00 
E01004071,Southwark 030D,3601.00 ,3718.00 
E01004072,Southwark 030E,4372.00 ,4679.00 
E01004069,Southwark 031A,3829.00 ,4786.00 
E01004070,Southwark 031B,4592.00 ,4429.00 
E01004073,Southwark 031C,4692.00 ,4663.00 
E01004074,Southwark 031D,4562.00 ,4706.00 
E01004075,Southwark 031E,4646.00 ,4795.00 
E01003949,Southwark 032A,4376.00 ,4020.00 
E01003950,Southwark 032B,2926.00 ,1572.00 
E01003957,Southwark 032C,4111.00 ,4147.00 
E01003958,Southwark 032D,3696.00 ,3924.00 
E01004018,Southwark 032E,4473.00 ,4233.00 
E01003945,Southwark 033A,4284.00 ,4338.00 
E01003946,Southwark 033B,3898.00 ,4102.00 
E01003947,Southwark 033C,1129.00 ,892.00 
E01003948,Southwark 033D,3778.00 ,3786.00 
E01003951,Southwark 033E,3514.00 ,4542.00 
E01003930,Southwark 034A,2419.00 ,2271.00 
E01003932,Southwark 034B,2748.00 ,1296.00 
E01003933,Southwark 034C,3505.00 ,3052.00 
E01032583,Southwark 034D,3148.00 ,2464.00 
E01032584,Southwark 034E,2725.00 ,2417.00 
E01004222,Tower Hamlets 001A,2674.00 ,1436.00 
E01004223,Tower Hamlets 001B,2720.00 ,2491.00 
E01004224,Tower Hamlets 001C,3279.00 ,2307.00 
E01004226,Tower Hamlets 001D,1943.00 ,2018.00 
E01004197,Tower Hamlets 002A,4308.00 ,2908.00 
E01004198,Tower Hamlets 002B,1744.00 ,1643.00 
E01004199,Tower Hamlets 002C,779.00 ,1215.00 
E01004201,Tower Hamlets 002D,2823.00 ,2898.00 
E01004228,Tower Hamlets 003A,4063.00 ,4254.00 
E01004230,Tower Hamlets 003B,3718.00 ,2624.00 
E01004232,Tower Hamlets 003C,4341.00 ,4563.00 
E01004233,Tower Hamlets 003D,1857.00 ,1807.00 
E01004234,Tower Hamlets 003E,4688.00 ,4389.00 
E01004225,Tower Hamlets 004A,4830.00 ,4443.00 
E01004229,Tower Hamlets 004C,2460.00 ,2505.00 
E01004231,Tower Hamlets 004D,1930.00 ,1798.00 
E01032764,Tower Hamlets 004E,3392.00 ,3479.00 
E01032765,Tower Hamlets 004F,2545.00 ,2602.00 
E01032784,Tower Hamlets 004G,3725.00 ,3099.00 
E01004200,Tower Hamlets 005A,3876.00 ,3267.00 
E01004202,Tower Hamlets 005B,3936.00 ,3173.00 
E01004203,Tower Hamlets 005C,3552.00 ,2689.00 
E01004204,Tower Hamlets 005D,1536.00 ,1756.00 
E01004311,Tower Hamlets 006A,2401.00 ,1753.00 
E01004314,Tower Hamlets 006B,3036.00 ,4589.00 
E01004315,Tower Hamlets 006C,3324.00 ,2814.00 
E01004318,Tower Hamlets 006D,1990.00 ,2198.00 
E01004259,Tower Hamlets 007A,4010.00 ,3149.00 
E01004260,Tower Hamlets 007B,2485.00 ,1997.00 
E01004263,Tower Hamlets 007C,434.00 ,1459.00 
E01004266,Tower Hamlets 007D,2748.00 ,2881.00 
E01004235,Tower Hamlets 008A,533.00 ,1287.00 
E01004236,Tower Hamlets 008B,597.00 ,940.00 
E01004237,Tower Hamlets 008C,1206.00 ,2148.00 
E01004238,Tower Hamlets 008D,3992.00 ,2056.00 
E01004239,Tower Hamlets 008E,465.00 ,1750.00 
E01004312,Tower Hamlets 009A,1682.00 ,1288.00 
E01004313,Tower Hamlets 009B,3514.00 ,2227.00 
E01004316,Tower Hamlets 009C,1749.00 ,2422.00 
E01004317,Tower Hamlets 009D,4831.00 ,3930.00 
E01004261,Tower Hamlets 010A,1819.00 ,720.00 
E01004262,Tower Hamlets 010B,1883.00 ,1806.00 
E01004264,Tower Hamlets 010C,818.00 ,937.00 
E01032785,Tower Hamlets 010E,3887.00 ,4174.00 
E01032786,Tower Hamlets 010F,2236.00 ,2366.00 
E01004207,Tower Hamlets 011A,1715.00 ,1836.00 
E01004209,Tower Hamlets 011B,395.00 ,1418.00 
E01004212,Tower Hamlets 011D,3104.00 ,1930.00 
E01032787,Tower Hamlets 011F,2698.00 ,1534.00 
E01004240,Tower Hamlets 012A,916.00 ,1191.00 
E01004241,Tower Hamlets 012B,641.00 ,1271.00 
E01004242,Tower Hamlets 012C,3108.00 ,2032.00 
E01004267,Tower Hamlets 012D,3688.00 ,2687.00 
E01004268,Tower Hamlets 012E,1303.00 ,1179.00 
E01004205,Tower Hamlets 013A,1905.00 ,1176.00 
E01004206,Tower Hamlets 013B,995.00 ,499.00 
E01004208,Tower Hamlets 013C,4503.00 ,3416.00 
E01004211,Tower Hamlets 013D,3992.00 ,3182.00 
E01004269,Tower Hamlets 014A,2995.00 ,1748.00 
E01004270,Tower Hamlets 014B,4347.00 ,2990.00 
E01004271,Tower Hamlets 014C,658.00 ,1719.00 
E01004272,Tower Hamlets 014D,618.00 ,722.00 
E01004273,Tower Hamlets 014E,934.00 ,1258.00 
E01004306,Tower Hamlets 015A,3964.00 ,3503.00 
E01004307,Tower Hamlets 015B,4829.00 ,4594.00 
E01004308,Tower Hamlets 015C,2353.00 ,2597.00 
E01004309,Tower Hamlets 015D,4047.00 ,2125.00 
E01004310,Tower Hamlets 015E,3664.00 ,2329.00 
E01004283,Tower Hamlets 016A,2536.00 ,1741.00 
E01004287,Tower Hamlets 016B,2559.00 ,1724.00 
E01004289,Tower Hamlets 016C,2203.00 ,1922.00 
E01004290,Tower Hamlets 016D,2552.00 ,2850.00 
E01004322,Tower Hamlets 017A,1293.00 ,2159.00 
E01004323,Tower Hamlets 017B,2313.00 ,2388.00 
E01004324,Tower Hamlets 017C,1081.00 ,1475.00 
E01004326,Tower Hamlets 017D,2353.00 ,2160.00 
E01004245,Tower Hamlets 018A,60.00 ,715.00 
E01004246,Tower Hamlets 018B,2995.00 ,2512.00 
E01004248,Tower Hamlets 018C,40.00 ,669.00 
E01004249,Tower Hamlets 018D,1206.00 ,1265.00 
E01004284,Tower Hamlets 019A,3903.00 ,2714.00 
E01004285,Tower Hamlets 019B,1020.00 ,1148.00 
E01004286,Tower Hamlets 019C,2831.00 ,2361.00 
E01004288,Tower Hamlets 019D,533.00 ,1300.00 
E01004243,Tower Hamlets 020A,806.00 ,1187.00 
E01004244,Tower Hamlets 020B,930.00 ,1322.00 
E01004247,Tower Hamlets 020C,1266.00 ,1137.00 
E01004250,Tower Hamlets 020D,1515.00 ,1375.00 
E01004319,Tower Hamlets 021A,2277.00 ,1609.00 
E01004321,Tower Hamlets 021C,2936.00 ,2052.00 
E01004325,Tower Hamlets 021D,4822.00 ,3880.00 
E01032766,Tower Hamlets 021E,3552.00 ,4182.00 
E01032767,Tower Hamlets 021F,4766.00 ,4652.00 
E01004298,Tower Hamlets 022A,1786.00 ,1669.00 
E01004300,Tower Hamlets 022B,566.00 ,1421.00 
E01004304,Tower Hamlets 022C,1905.00 ,1485.00 
E01004305,Tower Hamlets 022D,1857.00 ,1369.00 
E01004251,Tower Hamlets 023A,2189.00 ,1606.00 
E01004254,Tower Hamlets 023B,4828.00 ,4654.00 
E01004255,Tower Hamlets 023C,2078.00 ,1895.00 
E01004258,Tower Hamlets 023D,3725.00 ,4541.00 
E01004252,Tower Hamlets 024A,4056.00 ,2316.00 
E01004253,Tower Hamlets 024B,1775.00 ,1380.00 
E01004256,Tower Hamlets 024C,1072.00 ,1400.00 
E01004257,Tower Hamlets 024D,995.00 ,1264.00 
E01004301,Tower Hamlets 025B,1090.00 ,1712.00 
E01004302,Tower Hamlets 025C,1749.00 ,1438.00 
E01004303,Tower Hamlets 025D,3887.00 ,3163.00 
E01032768,Tower Hamlets 025E,4498.00 ,4723.00 
E01032769,Tower Hamlets 025F,3529.00 ,4492.00 
E01004292,Tower Hamlets 026A,4768.00 ,4774.00 
E01004294,Tower Hamlets 026B,4358.00 ,4369.00 
E01004295,Tower Hamlets 026C,696.00 ,1402.00 
E01004296,Tower Hamlets 026D,2995.00 ,2795.00 
E01004291,Tower Hamlets 027A,4753.00 ,4662.00 
E01004293,Tower Hamlets 027B,4818.00 ,4755.00 
E01004297,Tower Hamlets 027C,4763.00 ,4763.00 
E01004215,Tower Hamlets 028A,4733.00 ,3411.00 
E01004219,Tower Hamlets 028B,3725.00 ,2257.00 
E01004221,Tower Hamlets 028D,4213.00 ,4166.00 
E01032776,Tower Hamlets 028E,3692.00 ,4631.00 
E01032777,Tower Hamlets 028F,2814.00 ,4227.00 
E01032778,Tower Hamlets 028G,3683.00 ,4486.00 
E01032779,Tower Hamlets 028H,3199.00 ,4509.00 
E01032780,Tower Hamlets 028I,4543.00 ,4761.00 
E01004214,Tower Hamlets 030A,504.00 ,1243.00 
E01004216,Tower Hamlets 030B,3829.00 ,4132.00 
E01004217,Tower Hamlets 030C,2965.00 ,3368.00 
E01004218,Tower Hamlets 030D,4044.00 ,4432.00 
