Codes,Names, Census_Population_All Ages,Population_Density,house_price,Unemployment_Rate,qualification4,Mean_Household_Income
E01001266,Ealing 006B,1832.00 ,73.31 ,315000.00 ,6.05 ,461.00 ,42090.14 
E01001267,Ealing 006C,1953.00 ,38.39 ,197000.00 ,8.69 ,393.00 ,33885.17 
E01001268,Ealing 012D,1736.00 ,30.42 ,292500.00 ,5.12 ,426.00 ,47364.47 
E01001269,Ealing 001A,1983.00 ,29.11 ,255000.00 ,5.52 ,498.00 ,39899.93 
E01001270,Ealing 004A,1721.00 ,28.15 ,250000.00 ,7.17 ,423.00 ,42114.72 
E01001271,Ealing 001B,1804.00 ,33.91 ,250000.00 ,7.71 ,394.00 ,38080.97 
E01001272,Ealing 006D,1628.00 ,54.77 ,312500.00 ,6.49 ,436.00 ,41575.76 
E01001273,Ealing 020F,1623.00 ,38.90 ,500000.00 ,4.27 ,724.00 ,72530.10 
E01001274,Ealing 020G,1630.00 ,26.81 ,540000.00 ,4.89 ,583.00 ,65551.66 
E01001275,Ealing 020H,1901.00 ,34.91 ,337500.00 ,7.54 ,952.00 ,57276.08 
E01001276,Ealing 011A,1788.00 ,36.05 ,260000.00 ,6.49 ,519.00 ,39705.10 
E01001277,Ealing 011B,1844.00 ,54.27 ,250000.00 ,5.66 ,649.00 ,47002.97 
E01001278,Ealing 011C,1962.00 ,45.25 ,250000.00 ,7.52 ,677.00 ,46948.95 
E01001279,Ealing 013C,1473.00 ,25.31 ,585000.00 ,4.35 ,726.00 ,79980.85 
E01001280,Ealing 011D,1740.00 ,37.11 ,282500.00 ,5.06 ,768.00 ,58153.32 
E01001281,Ealing 013D,1600.00 ,28.78 ,515000.00 ,2.78 ,806.00 ,77923.80 
E01001282,Ealing 016B,1557.00 ,15.01 ,250000.00 ,10.12 ,278.00 ,33145.02 
E01001283,Ealing 016C,1595.00 ,26.07 ,246000.00 ,8.61 ,318.00 ,31561.72 
E01001284,Ealing 022A,1539.00 ,47.28 ,343475.00 ,4.28 ,417.00 ,51339.19 
E01001285,Ealing 016D,1690.00 ,21.32 ,270000.00 ,6.98 ,365.00 ,39002.43 
E01001286,Ealing 016E,1674.00 ,21.36 ,275000.00 ,6.27 ,375.00 ,38283.53 
E01001287,Ealing 016F,1437.00 ,9.22 ,277500.00 ,9.45 ,258.00 ,34208.19 
E01001288,Ealing 022B,1498.00 ,17.29 ,374500.00 ,5.65 ,479.00 ,52350.75 
E01001289,Ealing 022C,1383.00 ,12.54 ,270000.00 ,6.46 ,471.00 ,53541.37 
E01001290,Ealing 022D,1856.00 ,50.69 ,291500.00 ,4.36 ,705.00 ,52627.85 
E01001291,Ealing 014C,1642.00 ,16.57 ,257000.00 ,9.92 ,347.00 ,35535.77 
E01001292,Ealing 014D,1708.00 ,18.64 ,277500.00 ,5.06 ,371.00 ,39910.21 
E01001293,Ealing 014E,1598.00 ,14.58 ,245000.00 ,7.70 ,325.00 ,35250.46 
E01001294,Ealing 017A,1894.00 ,29.70 ,231000.00 ,7.06 ,395.00 ,34745.46 
E01001295,Ealing 017B,1826.00 ,16.00 ,248975.00 ,6.98 ,368.00 ,36105.98 
E01001296,Ealing 017C,1481.00 ,15.82 ,250000.00 ,6.97 ,289.00 ,33869.61 
E01001297,Ealing 017D,1814.00 ,25.04 ,159000.00 ,7.03 ,366.00 ,33487.62 
E01001298,Ealing 017E,1934.00 ,17.54 ,265000.00 ,10.94 ,355.00 ,31426.48 
E01001299,Ealing 035B,1833.00 ,22.81 ,488750.00 ,5.01 ,701.00 ,63157.17 
E01001300,Ealing 039A,1692.00 ,13.76 ,535000.00 ,3.27 ,736.00 ,71862.43 
E01001301,Ealing 039B,1782.00 ,25.12 ,296500.00 ,4.00 ,890.00 ,52401.95 
E01001302,Ealing 039C,1621.00 ,33.69 ,462500.00 ,5.21 ,671.00 ,61092.98 
E01001303,Ealing 032A,1639.00 ,16.07 ,460000.00 ,3.87 ,819.00 ,69361.61 
E01001304,Ealing 039D,1627.00 ,11.57 ,308000.00 ,3.45 ,731.00 ,59955.40 
E01001305,Ealing 035C,1716.00 ,15.07 ,486000.00 ,3.80 ,728.00 ,69484.68 
E01001306,Ealing 035D,1607.00 ,15.36 ,425975.00 ,5.09 ,734.00 ,65815.85 
E01001307,Ealing 002A,1833.00 ,57.25 ,275000.00 ,7.01 ,488.00 ,43555.00 
E01001308,Ealing 002B,2042.00 ,111.14 ,320000.00 ,6.14 ,580.00 ,46998.47 
E01001309,Ealing 001C,1830.00 ,33.41 ,265000.00 ,5.88 ,386.00 ,39330.58 
E01001310,Ealing 001D,1801.00 ,23.76 ,249975.00 ,7.37 ,402.00 ,38477.90 
E01001311,Ealing 001E,2082.00 ,32.12 ,250000.00 ,7.76 ,332.00 ,32888.43 
E01001312,Ealing 002C,1839.00 ,20.50 ,250000.00 ,6.19 ,475.00 ,39056.28 
E01001313,Ealing 002D,1701.00 ,17.29 ,290000.00 ,6.74 ,456.00 ,41841.23 
E01001314,Ealing 002E,1585.00 ,29.32 ,272000.00 ,5.04 ,413.00 ,43601.63 
E01001315,Ealing 003A,1461.00 ,16.44 ,233000.00 ,7.00 ,305.00 ,37642.86 
E01001316,Ealing 003B,1583.00 ,18.20 ,190000.00 ,10.34 ,283.00 ,30863.47 
E01001317,Ealing 003C,1862.00 ,33.76 ,168000.00 ,8.34 ,325.00 ,34460.34 
E01001318,Ealing 003D,1790.00 ,25.45 ,182000.00 ,9.60 ,281.00 ,31951.38 
E01001319,Ealing 004B,1498.00 ,13.99 ,250000.00 ,5.59 ,291.00 ,38752.01 
E01001320,Ealing 003E,1548.00 ,45.80 ,192497.50 ,12.16 ,200.00 ,27589.48 
E01001321,Ealing 003F,2021.00 ,33.15 ,240000.00 ,7.59 ,401.00 ,36183.92 
E01001322,Ealing 004C,1692.00 ,54.52 ,279250.00 ,6.32 ,404.00 ,38764.69 
E01001323,Ealing 004D,1728.00 ,33.85 ,180000.00 ,6.09 ,495.00 ,37765.02 
E01001324,Ealing 008B,1553.00 ,31.64 ,184250.00 ,9.17 ,360.00 ,34724.44 
E01001325,Ealing 009A,1758.00 ,95.15 ,250000.00 ,9.01 ,268.00 ,34182.22 
E01001326,Ealing 008C,1719.00 ,74.01 ,185500.00 ,10.91 ,291.00 ,31457.01 
E01001327,Ealing 009B,1803.00 ,27.82 ,250000.00 ,9.59 ,266.00 ,33533.21 
E01001328,Ealing 009C,1730.00 ,38.34 ,193500.00 ,12.33 ,252.00 ,30505.64 
E01001329,Ealing 009D,1783.00 ,30.19 ,177500.00 ,8.26 ,288.00 ,34635.52 
E01001330,Ealing 008D,1598.00 ,29.69 ,138500.00 ,11.10 ,215.00 ,26943.38 
E01001331,Ealing 009E,1674.00 ,14.24 ,124000.00 ,14.86 ,231.00 ,28053.61 
E01001332,Ealing 008E,1503.00 ,13.72 ,162000.00 ,12.91 ,267.00 ,29097.80 
E01001333,Ealing 038A,1903.00 ,27.82 ,245000.00 ,12.93 ,330.00 ,27188.75 
E01001334,Ealing 029C,1623.00 ,15.89 ,167000.00 ,12.68 ,222.00 ,24187.35 
E01001335,Ealing 038B,1781.00 ,49.09 ,177000.00 ,7.54 ,494.00 ,44129.38 
E01001336,Ealing 038C,1572.00 ,25.34 ,315000.00 ,8.01 ,363.00 ,35159.18 
E01001337,Ealing 029D,1470.00 ,121.77 ,282500.00 ,9.57 ,370.00 ,34143.25 
E01001338,Ealing 029E,1953.00 ,54.70 ,165000.00 ,19.65 ,423.00 ,33388.92 
E01001339,Ealing 029F,1841.00 ,72.62 ,227500.00 ,12.77 ,320.00 ,30945.74 
E01001340,Ealing 029G,1889.00 ,12.17 ,150000.00 ,9.99 ,447.00 ,35405.83 
E01001341,Ealing 005A,1712.00 ,22.92 ,270000.00 ,6.14 ,401.00 ,38666.29 
E01001342,Ealing 005B,1867.00 ,18.99 ,273000.00 ,6.14 ,489.00 ,38180.85 
E01001343,Ealing 005C,1504.00 ,28.83 ,287500.00 ,7.13 ,374.00 ,40781.96 
E01001344,Ealing 007A,2161.00 ,48.31 ,202500.00 ,6.77 ,643.00 ,38703.10 
E01001345,Ealing 005D,1680.00 ,18.11 ,250000.00 ,9.08 ,314.00 ,35366.16 
E01001346,Ealing 007B,1878.00 ,22.98 ,252500.00 ,4.45 ,444.00 ,43181.18 
E01001347,Ealing 007C,1534.00 ,67.24 ,266250.00 ,6.08 ,371.00 ,40564.30 
E01001348,Ealing 007D,1599.00 ,41.14 ,266000.00 ,4.89 ,446.00 ,44017.40 
E01001349,Ealing 006E,1404.00 ,68.04 ,282500.00 ,9.36 ,293.00 ,36728.29 
E01001350,Ealing 027C,1486.00 ,29.84 ,545000.00 ,6.76 ,645.00 ,55426.60 
E01001351,Ealing 025E,1994.00 ,19.39 ,260000.00 ,8.60 ,653.00 ,38254.33 
E01001352,Ealing 027D,1510.00 ,16.01 ,384000.00 ,4.22 ,643.00 ,56974.39 
E01001353,Ealing 033A,1667.00 ,19.57 ,293500.00 ,6.06 ,607.00 ,38509.68 
E01001354,Ealing 027E,1840.00 ,27.04 ,412000.00 ,4.32 ,722.00 ,57155.47 
E01001355,Ealing 033B,1664.00 ,14.63 ,296000.00 ,6.89 ,588.00 ,40530.31 
E01001356,Ealing 033C,1969.00 ,8.38 ,194950.00 ,15.21 ,329.00 ,25399.41 
E01001357,Ealing 033D,1141.00 ,11.13 ,123000.00 ,9.68 ,228.00 ,30797.22 
E01001358,Ealing 033E,1602.00 ,25.91 ,253750.00 ,15.17 ,245.00 ,25041.26 
E01001359,Ealing 026A,2201.00 ,13.27 ,220000.00 ,9.34 ,373.00 ,29619.05 
E01001360,Ealing 026B,1923.00 ,14.05 ,240500.00 ,8.67 ,362.00 ,32255.42 
E01001361,Ealing 023E,1802.00 ,38.71 ,157500.00 ,10.13 ,296.00 ,29785.88 
E01001362,Ealing 026C,1935.00 ,24.41 ,228000.00 ,9.97 ,394.00 ,29925.48 
E01001363,Ealing 026D,1685.00 ,13.53 ,229000.00 ,9.90 ,232.00 ,28965.13 
E01001364,Ealing 026E,1676.00 ,11.87 ,175000.00 ,10.36 ,277.00 ,27400.07 
E01001365,Ealing 026F,2217.00 ,46.39 ,248000.00 ,9.17 ,388.00 ,30628.78 
E01001366,Ealing 037A,1923.00 ,17.04 ,200000.00 ,10.39 ,322.00 ,28849.81 
E01001367,Ealing 037B,1764.00 ,20.33 ,287000.00 ,10.36 ,292.00 ,26042.11 
E01001368,Ealing 037C,1723.00 ,12.87 ,280000.00 ,8.98 ,277.00 ,30615.77 
E01001369,Ealing 038D,1846.00 ,15.01 ,167500.00 ,11.41 ,379.00 ,28430.81 
E01001370,Ealing 037D,1980.00 ,44.84 ,240000.00 ,11.61 ,316.00 ,30378.64 
E01001371,Ealing 037E,2081.00 ,20.25 ,225500.00 ,10.88 ,337.00 ,28060.27 
E01001372,Ealing 037F,1763.00 ,12.86 ,192500.00 ,10.67 ,279.00 ,28647.74 
E01001373,Ealing 037G,1499.00 ,15.34 ,203750.00 ,9.53 ,246.00 ,28345.48 
E01001374,Ealing 040A,1798.00 ,12.98 ,540000.00 ,4.57 ,827.00 ,59210.82 
E01001375,Ealing 034A,1665.00 ,13.85 ,705000.00 ,3.26 ,909.00 ,84137.96 
E01001376,Ealing 040B,1579.00 ,15.55 ,323250.00 ,6.88 ,633.00 ,47388.89 
E01001377,Ealing 034B,1770.00 ,19.06 ,1100000.00 ,3.35 ,914.00 ,85355.35 
E01001379,Ealing 034C,1679.00 ,13.32 ,765000.00 ,2.74 ,863.00 ,83452.76 
E01001380,Ealing 040C,1759.00 ,17.56 ,530000.00 ,3.93 ,821.00 ,66431.46 
E01001381,Ealing 034D,1649.00 ,28.52 ,372000.00 ,6.23 ,661.00 ,47822.43 
E01001382,Ealing 032B,1566.00 ,20.39 ,622500.00 ,3.12 ,708.00 ,76555.75 
E01001383,Ealing 028D,1791.00 ,11.57 ,403000.00 ,6.02 ,735.00 ,59967.28 
E01001384,Ealing 032C,1645.00 ,10.89 ,420000.00 ,3.15 ,771.00 ,61764.97 
E01001385,Ealing 032D,1682.00 ,16.02 ,459750.00 ,3.69 ,771.00 ,67441.24 
E01001386,Ealing 031F,1793.00 ,30.84 ,535000.00 ,4.91 ,910.00 ,75632.54 
E01001387,Ealing 032E,1546.00 ,25.13 ,300000.00 ,5.93 ,733.00 ,59575.88 
E01001388,Ealing 028E,1640.00 ,17.81 ,402000.00 ,6.38 ,562.00 ,39173.22 
E01001389,Ealing 028F,1667.00 ,13.95 ,280000.00 ,6.27 ,681.00 ,48234.77 
E01001390,Enfield 036A,1971.00 ,15.36 ,304000.00 ,4.86 ,800.00 ,51020.27 
E01001391,Enfield 036B,1564.00 ,13.24 ,357000.00 ,7.48 ,497.00 ,34860.28 
E01001392,Enfield 032A,1824.00 ,16.02 ,335500.00 ,5.33 ,662.00 ,52412.76 
E01001393,Enfield 036C,2112.00 ,17.95 ,230000.00 ,8.70 ,790.00 ,42852.84 
E01001394,Enfield 035A,1653.00 ,17.25 ,259500.00 ,8.74 ,356.00 ,32963.20 
E01001395,Enfield 035B,1590.00 ,23.98 ,207500.00 ,12.14 ,286.00 ,31539.45 
E01001396,Enfield 036D,1413.00 ,14.79 ,249997.50 ,6.19 ,345.00 ,37513.33 
E01001397,Enfield 035C,1924.00 ,29.89 ,217500.00 ,8.43 ,481.00 ,33909.32 
E01001398,Enfield 021A,1392.00 ,17.47 ,379000.00 ,4.17 ,405.00 ,59394.41 
E01001399,Enfield 021B,1437.00 ,24.27 ,308000.00 ,2.86 ,364.00 ,54055.10 
E01001400,Enfield 021C,1543.00 ,24.37 ,393750.00 ,4.92 ,414.00 ,54283.40 
E01001401,Enfield 016A,1323.00 ,14.75 ,310000.00 ,5.90 ,305.00 ,46839.92 
E01001402,Enfield 021D,1833.00 ,35.09 ,317000.00 ,4.39 ,598.00 ,57397.95 
E01001403,Enfield 021E,1602.00 ,37.02 ,277500.00 ,6.50 ,369.00 ,43604.03 
E01001404,Enfield 026A,1473.00 ,51.69 ,352500.00 ,7.86 ,325.00 ,42548.42 
E01001405,Enfield 015A,1691.00 ,27.56 ,226000.00 ,6.33 ,532.00 ,49329.98 
E01001406,Enfield 015B,1629.00 ,20.41 ,211000.00 ,7.08 ,410.00 ,39669.87 
E01001407,Enfield 005A,1637.00 ,103.18 ,237000.00 ,6.52 ,343.00 ,42543.37 
E01001408,Enfield 004A,1646.00 ,14.56 ,250000.00 ,5.97 ,470.00 ,49024.45 
E01001409,Enfield 005B,1889.00 ,18.87 ,178000.00 ,10.83 ,355.00 ,31589.09 
E01001410,Enfield 005C,1721.00 ,15.92 ,123000.00 ,14.06 ,270.00 ,27377.79 
E01001411,Enfield 004B,1840.00 ,18.59 ,289000.00 ,6.01 ,542.00 ,48066.26 
E01001412,Enfield 004C,1834.00 ,1432.80 ,369995.00 ,6.45 ,321.00 ,40423.93 
E01001413,Enfield 004D,1632.00 ,51.07 ,340500.00 ,3.90 ,441.00 ,58936.46 
E01001414,Enfield 004E,1563.00 ,39.44 ,191500.00 ,10.94 ,263.00 ,28477.14 
E01001415,Enfield 011A,1541.00 ,108.28 ,250000.00 ,6.44 ,407.00 ,44948.15 
E01001416,Enfield 013A,1733.00 ,32.44 ,477000.00 ,4.65 ,570.00 ,66948.80 
E01001417,Enfield 011B,1974.00 ,570.13 ,1047500.00 ,2.75 ,580.00 ,81821.73 
E01001418,Enfield 011C,1650.00 ,62.00 ,452750.00 ,7.77 ,492.00 ,45928.60 
E01001419,Enfield 020A,1946.00 ,66.58 ,250000.00 ,6.70 ,624.00 ,47692.15 
E01001420,Enfield 020B,1570.00 ,35.57 ,297500.00 ,8.94 ,330.00 ,36250.09 
E01001421,Enfield 020C,1716.00 ,19.36 ,245000.00 ,9.20 ,399.00 ,33437.30 
E01001422,Enfield 011D,1658.00 ,146.34 ,1335000.00 ,3.64 ,596.00 ,91061.59 
E01001423,Enfield 027A,1805.00 ,19.16 ,247000.00 ,11.38 ,269.00 ,30932.70 
E01001424,Enfield 030A,1210.00 ,7.18 ,175000.00 ,14.39 ,216.00 ,27255.31 
E01001425,Enfield 027B,1862.00 ,40.22 ,182000.00 ,16.60 ,252.00 ,24354.15 
E01001426,Enfield 030B,1821.00 ,30.82 ,177000.00 ,13.96 ,250.00 ,27203.72 
E01001427,Enfield 030C,1840.00 ,134.71 ,228750.00 ,15.11 ,234.00 ,23357.90 
E01001428,Enfield 027C,1677.00 ,15.75 ,235000.00 ,13.70 ,232.00 ,28248.40 
E01001429,Enfield 030D,2394.00 ,24.34 ,129125.00 ,16.07 ,357.00 ,23911.17 
E01001430,Enfield 030E,1884.00 ,11.68 ,177000.00 ,17.76 ,188.00 ,22401.85 
E01001431,Enfield 033A,1549.00 ,13.58 ,118500.00 ,14.58 ,223.00 ,26572.60 
E01001432,Enfield 033B,1907.00 ,15.33 ,192000.00 ,10.73 ,305.00 ,27668.37 
E01001433,Enfield 007A,1827.00 ,33.44 ,207000.00 ,14.79 ,196.00 ,28296.35 
E01001434,Enfield 007B,1572.00 ,17.65 ,235000.00 ,7.76 ,218.00 ,32132.78 
E01001435,Enfield 007C,1480.00 ,15.75 ,199000.00 ,8.35 ,218.00 ,33129.56 
E01001436,Enfield 007D,1886.00 ,19.55 ,242500.00 ,9.23 ,300.00 ,33049.44 
E01001437,Enfield 014A,2373.00 ,264.11 ,220000.00 ,12.96 ,354.00 ,27448.36 
E01001438,Enfield 007E,1659.00 ,27.67 ,243500.00 ,12.06 ,254.00 ,30622.23 
E01001439,Enfield 006A,2075.00 ,20.99 ,181497.50 ,11.75 ,235.00 ,26484.76 
E01001440,Enfield 012A,1641.00 ,31.46 ,210000.00 ,10.96 ,217.00 ,30907.60 
E01001441,Enfield 006B,1514.00 ,33.28 ,216000.00 ,12.98 ,203.00 ,27162.91 
E01001442,Enfield 002A,1684.00 ,11.51 ,194000.00 ,14.65 ,176.00 ,24704.60 
E01001444,Enfield 001A,1676.00 ,34.72 ,228500.00 ,8.75 ,288.00 ,33114.23 
E01001445,Enfield 003B,2284.00 ,141.43 ,160000.00 ,9.12 ,452.00 ,32625.51 
E01001446,Enfield 001B,1817.00 ,18.07 ,172500.00 ,10.79 ,277.00 ,30975.44 
E01001447,Enfield 003C,1936.00 ,18.61 ,195000.00 ,15.48 ,297.00 ,27612.51 
E01001448,Enfield 003D,1831.00 ,15.75 ,212500.00 ,12.51 ,313.00 ,30122.45 
E01001449,Enfield 003E,1635.00 ,23.55 ,200000.00 ,11.99 ,238.00 ,31211.64 
E01001450,Enfield 015C,1878.00 ,35.76 ,210000.00 ,7.66 ,541.00 ,40626.63 
E01001451,Enfield 017A,1641.00 ,61.98 ,320000.00 ,4.46 ,471.00 ,56301.75 
E01001452,Enfield 017B,1356.00 ,63.85 ,635000.00 ,3.23 ,439.00 ,69373.34 
E01001453,Enfield 017C,1677.00 ,51.37 ,465000.00 ,6.26 ,558.00 ,62996.91 
E01001454,Enfield 017D,1633.00 ,38.69 ,297500.00 ,4.24 ,564.00 ,65051.33 
E01001455,Enfield 021F,1491.00 ,23.81 ,363750.00 ,4.47 ,425.00 ,53283.78 
E01001456,Enfield 022A,1400.00 ,26.63 ,547500.00 ,2.88 ,495.00 ,71720.37 
E01001457,Enfield 010A,1633.00 ,26.53 ,225000.00 ,4.76 ,599.00 ,55859.54 
E01001458,Enfield 037A,1745.00 ,16.29 ,135000.00 ,15.18 ,244.00 ,24649.79 
E01001459,Enfield 024A,1675.00 ,21.66 ,219250.00 ,8.07 ,308.00 ,32625.84 
E01001460,Enfield 024B,1711.00 ,12.26 ,183000.00 ,12.10 ,262.00 ,28031.48 
E01001461,Enfield 027D,1716.00 ,28.93 ,240000.00 ,14.58 ,260.00 ,26062.12 
E01001462,Enfield 024C,1339.00 ,10.91 ,156500.00 ,11.77 ,240.00 ,30183.16 
E01001463,Enfield 031A,1573.00 ,26.18 ,225500.00 ,9.34 ,251.00 ,33232.16 
E01001464,Enfield 027E,1330.00 ,20.17 ,250000.00 ,9.36 ,168.00 ,28755.01 
E01001465,Enfield 031B,1505.00 ,22.83 ,238000.00 ,11.10 ,269.00 ,33470.18 
E01001466,Enfield 031C,1795.00 ,9.88 ,185000.00 ,10.99 ,273.00 ,29365.54 
E01001467,Enfield 031D,1874.00 ,10.54 ,210000.00 ,9.59 ,324.00 ,31432.16 
E01001468,Enfield 010B,1339.00 ,78.39 ,244250.00 ,3.31 ,388.00 ,56793.20 
E01001469,Enfield 008A,1645.00 ,22.51 ,250000.00 ,6.21 ,408.00 ,45072.09 
E01001470,Enfield 013B,1598.00 ,189.66 ,400000.00 ,4.12 ,411.00 ,56310.67 
E01001471,Enfield 010C,1737.00 ,36.50 ,220000.00 ,6.78 ,551.00 ,50251.06 
E01001472,Enfield 010D,1682.00 ,25.07 ,226250.00 ,5.45 ,521.00 ,49064.26 
E01001473,Enfield 013C,1534.00 ,84.26 ,440000.00 ,8.63 ,338.00 ,44784.70 
E01001474,Enfield 010E,1767.00 ,38.58 ,275000.00 ,3.33 ,645.00 ,63491.98 
E01001475,Enfield 013D,1704.00 ,33.76 ,457500.00 ,4.58 ,536.00 ,61424.29 
E01001476,Enfield 018A,1666.00 ,20.24 ,183000.00 ,8.68 ,274.00 ,32284.27 
E01001477,Enfield 018B,1850.00 ,67.52 ,208000.00 ,9.99 ,263.00 ,29242.47 
E01001478,Enfield 016B,1538.00 ,31.80 ,230000.00 ,9.17 ,252.00 ,34263.78 
E01001479,Enfield 023A,1730.00 ,24.46 ,205000.00 ,9.72 ,280.00 ,30308.36 
E01001480,Enfield 024D,1549.00 ,19.72 ,247000.00 ,8.88 ,283.00 ,32559.62 
E01001481,Enfield 018C,1647.00 ,17.18 ,232500.00 ,9.33 ,247.00 ,31414.09 
E01001482,Enfield 023B,1854.00 ,17.65 ,226000.00 ,11.36 ,268.00 ,28224.18 
E01001483,Enfield 025A,1150.00 ,55.93 ,118750.00 ,13.13 ,176.00 ,24790.21 
E01001484,Enfield 016C,1371.00 ,32.94 ,235000.00 ,7.31 ,240.00 ,33881.68 
E01001485,Enfield 025B,1815.00 ,12.62 ,188000.00 ,10.98 ,266.00 ,27821.52 
E01001486,Enfield 025C,2106.00 ,18.06 ,152500.00 ,12.15 ,272.00 ,26213.98 
E01001487,Enfield 023C,1949.00 ,12.95 ,202000.00 ,12.06 ,280.00 ,27852.84 
E01001488,Enfield 024E,1883.00 ,13.15 ,208500.00 ,11.49 ,299.00 ,31930.92 
E01001489,Enfield 023D,1803.00 ,17.82 ,213500.00 ,8.70 ,263.00 ,30059.28 
E01001491,Enfield 023E,1976.00 ,14.82 ,210000.00 ,11.28 ,303.00 ,28964.78 
E01001492,Enfield 025E,1930.00 ,15.35 ,220000.00 ,11.41 ,314.00 ,30204.37 
E01001493,Enfield 026B,1773.00 ,23.29 ,294500.00 ,9.74 ,404.00 ,34574.35 
E01001494,Enfield 026C,1520.00 ,16.22 ,300750.00 ,7.29 ,328.00 ,41603.83 
E01001495,Enfield 029A,1715.00 ,15.41 ,248750.00 ,4.78 ,659.00 ,48950.31 
E01001496,Enfield 026D,1705.00 ,26.17 ,366250.00 ,5.21 ,433.00 ,47855.03 
E01001497,Enfield 031E,1476.00 ,20.32 ,265000.00 ,7.69 ,302.00 ,35367.65 
E01001498,Enfield 029B,1946.00 ,19.06 ,257500.00 ,6.48 ,644.00 ,44949.39 
E01001499,Enfield 031F,1650.00 ,20.84 ,305000.00 ,10.46 ,370.00 ,38360.84 
E01001500,Enfield 035D,1527.00 ,22.46 ,370999.50 ,5.93 ,392.00 ,45486.10 
E01001501,Enfield 036E,1850.00 ,30.34 ,235000.00 ,6.64 ,592.00 ,40149.82 
E01001502,Enfield 018D,1872.00 ,28.07 ,230000.00 ,9.17 ,272.00 ,29595.66 
E01001503,Enfield 018E,1844.00 ,17.04 ,218997.50 ,9.33 ,287.00 ,31448.13 
E01001504,Enfield 012B,1549.00 ,18.15 ,212000.00 ,9.86 ,200.00 ,31811.69 
E01001505,Enfield 012C,1727.00 ,19.45 ,208500.00 ,11.83 ,277.00 ,30126.67 
E01001506,Enfield 014B,1635.00 ,194.62 ,211500.00 ,12.86 ,246.00 ,27596.51 
E01001507,Enfield 012D,1870.00 ,26.79 ,160000.00 ,11.68 ,317.00 ,27044.97 
E01001508,Enfield 012E,1933.00 ,20.75 ,195000.00 ,10.53 ,410.00 ,28799.50 
E01001509,Enfield 014C,1738.00 ,14.58 ,142500.00 ,10.20 ,263.00 ,27987.80 
E01001510,Enfield 014D,1496.00 ,15.04 ,0.00 ,18.17 ,160.00 ,21944.68 
E01001511,Enfield 016D,1751.00 ,38.86 ,240000.00 ,6.39 ,365.00 ,39775.93 
E01001512,Enfield 015D,1780.00 ,19.05 ,222500.00 ,6.77 ,455.00 ,40598.15 
E01001513,Enfield 012F,1770.00 ,95.02 ,202500.00 ,9.39 ,271.00 ,30812.57 
E01001514,Enfield 016E,1768.00 ,13.68 ,220000.00 ,7.69 ,414.00 ,39204.82 
E01001515,Enfield 015E,1946.00 ,12.95 ,180000.00 ,12.81 ,337.00 ,27830.39 
E01001516,Enfield 005D,1834.00 ,32.81 ,249000.00 ,9.12 ,255.00 ,32687.83 
E01001517,Enfield 006C,1890.00 ,18.15 ,175000.00 ,14.42 ,204.00 ,23267.64 
E01001518,Enfield 016F,1767.00 ,55.87 ,265000.00 ,7.12 ,466.00 ,44728.91 
E01001519,Enfield 020D,2496.00 ,35.25 ,222000.00 ,6.62 ,961.00 ,45687.94 
E01001520,Enfield 019A,1680.00 ,35.26 ,280000.00 ,6.79 ,538.00 ,48479.42 
E01001521,Enfield 028A,1777.00 ,48.40 ,365000.00 ,5.30 ,689.00 ,60644.53 
E01001522,Enfield 019B,1805.00 ,20.51 ,248000.00 ,5.84 ,595.00 ,50371.29 
E01001523,Enfield 019C,1739.00 ,52.06 ,292500.00 ,6.85 ,549.00 ,55518.07 
E01001524,Enfield 019D,1531.00 ,25.76 ,465000.00 ,8.67 ,416.00 ,45557.47 
E01001525,Enfield 020E,1807.00 ,23.43 ,301250.00 ,5.83 ,574.00 ,48143.56 
E01001526,Enfield 019E,1619.00 ,28.42 ,270000.00 ,5.96 ,511.00 ,56476.34 
E01001527,Enfield 036F,1563.00 ,39.34 ,272500.00 ,5.35 ,529.00 ,52073.80 
E01001528,Enfield 032B,1445.00 ,20.86 ,187500.00 ,11.60 ,273.00 ,28182.20 
E01001529,Enfield 032C,1546.00 ,16.65 ,165000.00 ,9.38 ,371.00 ,30821.55 
E01001530,Enfield 032D,1290.00 ,20.86 ,295000.00 ,7.93 ,427.00 ,44739.89 
E01001531,Enfield 028B,1498.00 ,22.80 ,472250.00 ,3.79 ,608.00 ,69275.91 
E01001532,Enfield 028C,1764.00 ,28.87 ,530000.00 ,3.33 ,762.00 ,68845.59 
E01001533,Enfield 028D,1568.00 ,32.75 ,524950.00 ,4.79 ,560.00 ,68251.86 
E01001534,Enfield 032E,1631.00 ,40.34 ,418750.00 ,4.68 ,537.00 ,52100.08 
E01001535,Enfield 028E,1482.00 ,39.25 ,680000.00 ,5.46 ,454.00 ,57107.07 
E01001536,Enfield 008B,1717.00 ,43.33 ,320000.00 ,5.71 ,586.00 ,53689.02 
E01001537,Enfield 005E,1754.00 ,19.00 ,195000.00 ,5.41 ,415.00 ,45681.70 
E01001538,Enfield 009A,1660.00 ,25.47 ,307500.00 ,5.23 ,349.00 ,52466.68 
E01001539,Enfield 009B,1668.00 ,21.92 ,275000.00 ,5.16 ,393.00 ,49923.79 
E01001540,Enfield 008C,1763.00 ,25.88 ,197500.00 ,6.64 ,574.00 ,47527.72 
E01001541,Enfield 008D,1504.00 ,18.16 ,290750.00 ,4.41 ,481.00 ,56926.67 
