lsoa,names,unemployment_rate,work_popu_rate,population_density,couple_household_with_dependent_children,couple_household_without_dependent_children,lone_parent_household,one_person_household,other_multi_person_household,ethnic_white,ethnic_mixed_multiple,ethnic_asian_asian_british,ethnic_black,ethnic_other,ethnic_bame,country_of_birthc_uk,country_of_birthc_nuk,religionc_christian,religionc_buddhist,religionc_hindu,religionc_jewish,religionc_muslim,religionc_sikh,religionc_other_religion,religionc_no_religion,religionc_religion_not_stated,tenurec_owned_outright,tenurec_owned_with_a_mortgage_or_loan,tenurtc_social_rented,tenurec_private_rented,dwelling_typec_household_spaces_with_at_least_one_usual_resident,dwelling_typec_household_spaces_with_no_usual_residents,dwelling_type_detached,dwelling_type_semi_detached,dwelling_type_terraced,dwelling_type_flat,house_prices,no_qualifications,level1_qualifications,level2_qualifications,apprenticeship,level3_qualifications,level4_qualifications_and_above,other_qualifications,over_18_students,health_activities_limited,health_activities_limited_a_little,health_activities_not_limited,good_health,fair_health,bad_health,nocars,1car,2cars,3cars,4+_cars,cars_per_household,transport_accessibility,household_income
E01001946,Hammersmith and Fulham 004D,701,7509,1204,1108,1701,13,3502,2209,6405,7,805,1604,307,3505,5407,4503,5109,106,5,4,10,2,6,2609,709,1305,1408,3803,3106,9702,208,101,305,15,8003,407500,1207,704,805,105,904,4901,1105,609,603,606,8701,8604,805,501,5907,3406,408,9,0,5,408,33811
E01001862,Hammersmith and Fulham 005A,806,7503,901,1102,1705,1209,4107,1607,5707,8,701,1903,709,4203,5602,4308,4806,9,7,2,1108,5,5,2705,903,809,1701,4606,2504,9504,406,106,306,602,8806,340000,1604,804,907,103,11,4105,1106,509,704,803,8403,8009,1207,603,6006,34,409,1,4,5,401,31544
E01001940,Hammersmith and Fulham 005B,806,7509,801,909,1808,1302,3909,1802,5608,704,902,1909,606,4302,5507,4403,5205,108,9,2,1205,2,6,23,802,804,1106,3804,3606,9601,309,102,501,503,8804,298225,1401,808,804,105,1108,4307,1107,903,703,802,8404,82,1104,606,6706,2901,301,1,1,4,406,30269
E01001941,Hammersmith and Fulham 005C,601,8606,1405,709,1904,709,3305,3102,6505,504,1208,1007,506,3405,4901,5009,4607,106,101,5,9,6,4,2906,1006,1009,1301,2006,5109,9602,308,105,301,1307,8107,315000,906,605,506,104,9,5605,1104,705,505,309,9006,8907,607,306,6609,2906,208,6,1,4,607,35110
E01001942,Hammersmith and Fulham 005D,705,79,903,907,1707,1005,41,21,6305,505,1203,1303,505,3605,5205,4705,4908,102,6,5,1108,3,8,2601,808,1203,1409,2701,4204,9602,308,108,308,1508,7805,321250,1301,7,8,104,909,4803,1203,608,7,507,8703,85,906,504,5902,3504,404,9,1,5,406,35855
E01001858,Hammersmith and Fulham 006A,603,7609,1205,1002,1702,12,4105,19,6404,606,1102,1301,407,3506,5803,4107,5004,9,6,5,906,2,3,2906,708,1009,1705,3606,3001,9804,106,202,406,1304,7908,250000,1308,703,906,102,1409,4009,1203,1602,805,7,8405,8209,1105,506,5809,35,505,4,3,5,307,32206
E01001860,Hammersmith and Fulham 006B,1103,7606,806,1003,14,1307,4109,2001,5309,701,1302,1907,601,4601,53,47,4601,1,205,1,1405,3,8,2307,1008,608,1207,4402,3109,9705,205,101,302,904,86,257500,1508,801,1003,103,1303,3902,1109,907,604,703,8602,8304,908,608,6408,3102,303,3,5,4,401,28033
E01001861,Hammersmith and Fulham 006C,709,7209,705,1301,1907,1309,3705,1507,5604,607,901,22,509,4306,5307,4603,5201,5,102,7,1205,2,4,23,905,1102,19,3909,2801,9409,501,9,501,1604,7706,321300,1503,701,1007,105,1101,42,1203,701,603,708,8508,8209,1105,506,5804,3702,401,2,2,5,309,32429
E01001863,Hammersmith and Fulham 006D,601,7409,803,1408,2108,1105,3407,1703,7406,307,507,1205,304,2504,6506,3404,5109,1,6,8,7,2,3,2907,805,1704,2802,2302,2802,9707,203,105,703,2503,6509,496625,1102,608,901,109,909,5007,1003,609,504,404,9002,89,609,401,5002,4004,8,1,3,6,307,41718
E01001864,Hammersmith and Fulham 006E,609,7401,704,1108,1902,803,4308,17,7005,504,7,1202,409,2905,5906,4004,5209,6,102,4,808,1,6,2701,802,1402,1506,2907,3607,9702,208,202,401,2401,6906,609000,1507,608,809,107,10,4604,1006,505,806,605,85,8206,1008,605,5806,3402,608,4,0,5,4,36369
E01001852,Hammersmith and Fulham 007A,404,8407,705,608,2508,502,4405,1707,7304,503,806,701,505,2606,50,50,4809,106,107,8,405,2,7,3208,808,1405,2407,1503,4402,9605,305,8,104,603,9105,375000,508,403,509,9,704,65,1007,907,307,404,92,8906,706,208,6006,3504,305,6,0,4,609,41949
E01001853,Hammersmith and Fulham 007B,407,7607,802,1305,2405,608,37,1803,7808,501,607,605,209,2102,5802,4108,5407,8,102,9,5,2,5,2709,807,1801,2406,1607,3904,9804,106,107,305,2104,7304,357475,6,503,6,8,707,6403,909,5,403,407,91,9003,603,303,5201,3806,705,102,7,6,604,48841
E01001854,Hammersmith and Fulham 007C,607,7903,606,807,2006,709,4409,1709,7009,602,907,907,305,2901,5503,4407,4809,106,9,6,8,8,9,2808,905,1308,2208,22,3906,9706,204,6,108,8,8905,295000,804,506,705,105,906,5508,1107,7,505,507,8808,8705,8,405,6607,2809,309,2,2,4,702,36158
E01001857,Hammersmith and Fulham 007D,909,7305,701,807,1508,1405,4406,1604,5208,601,809,2305,807,4702,5007,4903,49,201,5,9,1509,5,9,2101,901,803,907,5207,2707,9608,302,3,4,205,9608,204000,1807,1004,903,101,907,3807,1201,701,1005,809,8006,7709,1307,803,7507,2208,104,0,1,3,708,25478
E01001859,Hammersmith and Fulham 008A,707,73,1007,1504,2102,1401,3504,1309,5804,701,805,20,601,4106,5609,4301,4605,7,6,6,1701,5,2,2504,803,1002,2006,35,26,9405,505,1,201,401,9208,362500,1109,809,806,9,908,4902,1008,604,408,501,9002,8805,703,402,5007,4403,408,0,2,5,209,32568
E01001865,Hammersmith and Fulham 008B,702,7504,1107,1907,20,10,3103,19,7109,606,10,7,405,2801,5704,4206,4906,7,201,4,507,4,1,3302,708,2105,2703,1804,3103,9603,307,108,502,4209,5001,447500,1002,506,709,202,1109,5004,1108,408,501,508,8901,8703,804,403,4202,4802,808,5,3,7,209,44702
E01001927,Hammersmith and Fulham 008C,502,6603,20,2501,2604,509,2805,14,8309,507,609,201,104,1601,67,33,57,5,101,107,405,3,3,2701,706,3802,2904,603,2505,96,4,609,4507,1202,3502,1250000,508,308,904,9,1302,5809,8,701,403,508,90,9002,702,206,2807,4702,2006,302,2,1,301,64996
E01001930,Hammersmith and Fulham 008D,6,67,2504,12,1902,903,4706,1109,7101,409,706,1005,6,2809,6207,3703,5202,105,1,102,804,1,4,2509,904,1602,1709,3704,2604,9402,508,5,809,1002,7508,400000,1405,705,708,6,1002,49,1004,602,1407,905,7508,7601,1502,807,5402,36,802,1,7,6,307,36675
E01001895,Hammersmith and Fulham 009A,508,7408,807,1606,2107,903,3205,1909,6905,703,705,11,407,3005,6501,3409,5003,9,108,6,10,1,8,2804,703,1602,2107,2704,3205,9701,209,107,403,2805,6504,470000,12,502,9,6,1401,5101,801,1004,502,608,88,8701,902,308,4706,4207,802,103,1,6,401,42330
E01001896,Hammersmith and Fulham 009B,407,7803,804,10,1906,1006,3905,2003,63,605,11,1403,502,37,5801,4109,5009,108,101,8,904,5,6,2603,806,13,1708,35,33,9604,306,6,109,1304,8401,405000,1206,508,604,1,2102,4405,806,1802,605,6,8705,8704,801,405,5902,3504,409,4,0,5,501,34281
E01001897,Hammersmith and Fulham 009C,407,6809,906,22,2205,807,33,1309,78,401,603,8,306,22,66,34,5608,5,7,4,608,5,7,2501,805,2401,2106,2306,30,91,9,109,403,3305,6003,862500,808,504,7,101,902,5905,809,404,407,605,8808,8705,807,308,4305,4501,1003,8,3,7,408,56020
E01001929,Hammersmith and Fulham 009D,301,7104,805,1809,2201,509,4004,1207,8508,405,4,304,202,1402,6901,3009,5509,5,4,8,304,2,2,2907,9,3203,27,1104,27,9709,201,101,309,6406,3003,650000,706,502,506,101,1003,64,602,501,4,506,9003,89,801,209,3707,5506,6,5,2,7,503,60245
E01001851,Hammersmith and Fulham 010A,3,7201,909,20,26,602,3309,1309,8306,5,306,509,109,1604,62,38,6106,5,5,202,206,1,3,2502,7,2407,2407,1505,3306,9803,107,106,3,36,5905,800000,608,508,605,104,706,6302,807,308,302,407,9201,9008,607,205,4105,46,1105,1,0,7,507,62626
E01001855,Hammersmith and Fulham 010B,408,8109,707,809,2505,604,4404,1408,79,307,705,508,401,21,5708,4202,5004,106,8,7,504,1,4,3108,809,1606,2309,1701,4103,9602,308,1,103,1303,8503,427500,803,408,6,1,706,6106,1006,6,408,401,9101,8909,607,305,5805,3507,504,4,0,5,503,47000
E01001856,Hammersmith and Fulham 010C,707,7501,803,1501,1704,1401,3606,1608,6404,5,805,1502,609,3506,5703,4207,5108,6,106,1,1001,4,5,26,709,1201,1008,3903,3602,9803,107,8,206,1409,8107,1512500,1202,705,906,103,908,5001,905,8,7,604,8605,8404,1006,501,5903,33,602,102,3,5,604,35666
E01001869,Hammersmith and Fulham 010D,209,6704,2302,1905,2603,409,3608,1205,8206,301,7,307,305,1704,5706,4204,6102,3,106,8,503,3,2,2209,703,2702,1609,1602,3604,93,7,8,705,29,6207,1500000,703,4,608,7,804,6305,903,406,408,508,8904,8901,708,301,4001,46,1107,107,5,8,603,68517
E01001873,Hammersmith and Fulham 010E,701,7403,602,1109,1801,1202,3802,1906,6903,606,809,909,503,3007,5505,4405,5408,109,8,9,802,3,4,25,706,1507,1409,3603,3106,9706,204,6,104,1504,8206,362500,1208,701,809,9,709,5002,1201,607,601,702,8606,8308,11,502,6101,34,404,6,0,4,404,35267
E01001928,Hammersmith and Fulham 011A,7,6809,1807,2101,1903,1108,3402,1307,7102,603,604,1105,405,2808,6305,3605,5407,6,4,1,706,0,6,2505,906,2001,1908,2807,2706,9804,106,108,1201,2203,6306,864000,12,8,805,102,907,5106,809,401,707,609,8504,8403,902,604,4907,4002,809,1,3,6,404,45800
E01001931,Hammersmith and Fulham 011B,704,7305,608,1304,20,1103,42,1303,5909,509,1007,1302,1003,4001,5407,4503,4409,203,1,6,1602,0,2,2502,906,1303,1808,2207,41,9508,402,8,501,905,8405,290000,902,603,9,7,802,5509,1007,808,502,506,8902,8706,8,404,5804,3505,408,103,0,5,406,33145
E01001932,Hammersmith and Fulham 011C,701,7901,1709,11,2207,801,3804,1908,7103,303,804,805,805,2807,5609,4301,5002,104,104,5,709,1,4,3004,708,1209,1306,2706,4209,9701,209,107,406,1802,7505,486000,905,506,701,102,908,5408,12,804,404,609,8806,8705,805,4,56,3508,609,102,1,5,309,36798
E01001933,Hammersmith and Fulham 011D,701,7002,1802,1209,2407,9,4107,1107,7207,603,705,808,407,2703,6607,3303,5501,107,1,104,604,0,6,2503,805,32,1809,1905,2404,9502,408,208,1008,3702,4902,415000,804,704,907,104,1008,5503,7,7,508,607,8705,85,1103,308,4306,4305,1006,109,5,7,305,47060
E01001866,Hammersmith and Fulham 012A,604,7801,15,1209,2102,704,3706,2009,6504,406,1205,504,1202,3406,4509,5401,4306,203,106,109,11,2,101,2705,1007,21,1909,1302,4205,93,7,8,9,505,9206,630000,507,605,707,5,1105,5602,1109,1308,309,605,8906,88,801,309,5404,3508,708,2,0,6,608,46487
E01001867,Hammersmith and Fulham 012B,602,7203,808,805,1806,509,4303,2307,5602,602,2003,502,12,4308,45,55,4305,203,403,1,1702,5,7,2208,707,1904,2003,1404,43,95,5,3,6,608,9202,330000,809,4,706,6,1304,5401,1102,1901,10,702,8208,8202,1203,505,6505,3002,309,2,2,4,606,37281
E01001868,Hammersmith and Fulham 012C,902,7304,6,903,1501,2101,3906,1409,5406,606,1106,1901,801,4504,5302,4608,5505,103,7,7,1701,1,1,1801,605,308,701,60,2702,9005,905,3,9,204,9604,306000,2009,1107,12,105,909,3003,1308,908,809,809,8202,7905,13,705,70,27,208,2,0,3,602,25936
E01001870,Hammersmith and Fulham 012D,502,8605,1001,602,1806,702,45,2209,6109,405,1908,608,7,3801,4401,5509,4309,303,208,7,905,5,5,3003,804,1303,1902,13,5303,9505,405,2,5,505,9309,379250,605,501,407,9,1006,6005,1108,1502,309,503,9008,8906,606,308,6805,2709,303,2,1,4,506,36555
E01001871,Hammersmith and Fulham 012E,6,7906,1301,805,2004,604,4105,2303,6005,505,1306,406,1508,3905,3805,6105,4302,9,109,8,1502,4,9,2801,806,2309,1601,1205,4402,8803,1107,5,101,302,9502,517250,806,602,701,5,805,57,1201,14,502,507,8901,8703,9,307,56,3504,704,102,0,5,603,47680
E01001872,Hammersmith and Fulham 012F,801,83,701,804,2209,505,4208,2003,6608,606,1303,508,706,3302,4605,5305,4504,101,107,9,9,3,6,3004,1007,1406,20,1806,4405,9307,603,1,101,901,8906,395000,702,405,607,8,1009,5806,1103,1402,307,405,9108,8808,706,306,64,2809,509,9,3,4,602,43636
E01001893,Hammersmith and Fulham 013A,909,7209,708,909,1707,2106,3102,1906,5906,705,9,1704,606,4004,6203,3707,5002,104,5,3,1502,1,3,22,10,705,1107,5809,2004,9505,405,8,105,503,9204,320000,1804,10,1101,108,1306,34,1102,1303,707,601,8602,8206,1105,509,6601,2906,404,0,0,4,609,27800
E01001894,Hammersmith and Fulham 013B,902,7603,1506,805,1503,1208,4507,1708,6502,406,804,1804,304,3408,5702,4208,4501,103,101,7,1501,2,5,2505,1005,1408,1005,4305,2807,9402,508,5,402,801,8307,485000,1802,802,707,102,1002,4307,1007,706,1004,804,8102,7905,12,804,6503,3004,303,7,3,4,601,31020
E01001898,Hammersmith and Fulham 013C,606,7806,2806,1108,2204,701,3807,20,6708,6,11,902,6,3202,5603,4307,5204,103,109,3,702,2,1,2905,701,1407,1602,1808,4508,9309,601,104,403,1603,7709,466250,709,509,605,103,1202,5408,1104,909,408,505,8907,8803,708,309,5908,3206,608,5,3,5,701,40953
E01001899,Hammersmith and Fulham 013D,1009,6907,1205,702,1605,1802,4406,1305,6007,801,709,1501,802,3903,5707,4203,53,102,4,2,1606,1,3,1808,903,602,704,6408,1707,9803,107,1,208,1308,8204,360000,2502,1005,903,101,1108,3103,1007,803,13,1107,7502,7302,1506,1102,7109,2307,303,3,7,4,7,26724
E01001900,Hammersmith and Fulham 013E,702,7107,1306,1105,1606,1308,3605,2106,6401,506,904,1408,601,3509,5408,4502,5008,107,109,5,1101,2,2,2301,1005,904,908,5102,27,9708,202,102,507,2205,7006,582850,1806,803,802,108,1003,4008,1201,1003,1109,702,8009,7807,1301,802,6705,2902,209,1,3,4,608,32216
E01001889,Hammersmith and Fulham 014A,403,8009,1404,13,1909,701,3302,2608,7606,209,1004,608,302,2304,5806,4104,5403,104,109,2,3,1,4,3006,801,1807,2705,1906,32,9705,205,106,509,4209,4905,457000,807,501,505,1,1103,5902,903,1303,407,501,9001,8606,808,405,4809,4205,709,5,2,6,407,48469
E01001910,Hammersmith and Fulham 014B,408,8406,8,504,2301,5,4908,1608,7002,501,12,705,502,2908,4902,5008,5001,202,105,6,607,1,3,29,903,1107,1803,2103,4704,9706,204,1,8,604,9108,322000,702,502,507,101,902,6005,1101,805,309,501,91,8804,802,304,6905,2701,3,4,0,3,502,41236
E01001913,Hammersmith and Fulham 014C,208,8706,1009,607,2007,302,3903,3001,8406,401,604,105,304,1504,5902,4008,5408,6,106,1,209,2,9,3006,705,1906,2402,307,4905,9704,206,1,5,105,9709,472500,302,206,306,5,709,7406,706,706,201,403,9307,9405,402,103,5103,4109,509,8,1,6,405,59306
E01001914,Hammersmith and Fulham 014D,502,8705,607,601,2105,503,4401,23,6702,504,1209,802,604,3208,43,57,4906,108,203,7,805,2,8,2806,705,809,1603,1906,5209,9103,807,2,8,303,9505,345000,707,409,603,8,1006,5701,1206,1306,404,404,9102,8904,708,209,7109,2408,209,3,0,3,503,36349
E01001885,Hammersmith and Fulham 015A,1606,6501,505,1405,1201,2803,3308,1103,44,701,1001,2801,1007,56,5702,4208,5006,7,104,1,2403,2,5,1206,908,309,506,7806,905,8705,1205,5,1,404,9401,200000,2808,1109,1303,8,1202,2205,1006,706,1104,1007,7709,74,1506,1004,7003,2505,307,4,2,4,409,21568
E01001908,Hammersmith and Fulham 015B,509,8803,403,509,2207,508,4501,2003,7001,408,1404,507,5,2909,4401,5509,5107,105,6,9,609,1,4,3002,708,1006,1804,1306,56,9602,308,104,101,209,9406,410000,606,406,505,101,906,5801,1405,1108,305,403,9202,9002,605,302,7001,2601,308,1,0,3,501,38438
E01001909,Hammersmith and Fulham 015C,605,7801,808,1102,22,907,3509,2101,72,6,806,904,4,28,5709,4201,5708,105,1,4,8,1,3,2405,704,1201,1808,3403,3204,9801,109,104,108,2208,74,385000,15,507,709,101,1002,4905,1008,9,803,608,85,8206,1106,508,5705,3507,603,4,1,5,503,35191
E01001911,Hammersmith and Fulham 015D,1003,6907,1506,1105,1208,21,3605,1802,5005,603,1007,2302,902,4905,56,44,5005,105,105,3,1906,3,6,1708,709,506,1201,5909,1605,9809,101,8,206,603,9003,352500,2004,1109,1003,105,809,3507,1103,904,801,904,8205,7806,1402,702,67,2906,301,3,1,4,503,25954
E01001912,Hammersmith and Fulham 015E,1202,7107,905,1103,1208,2107,3203,2108,4703,507,1406,21,1103,5207,5408,4502,4708,4,104,3,2108,1,5,18,907,602,903,5805,2102,9802,108,206,409,1708,7406,310485,1904,1209,907,102,16,2806,1201,17,808,702,84,8108,1101,701,63,3203,4,7,0,4,6,25244
E01001886,Hammersmith and Fulham 016A,807,7503,908,1108,1702,1702,3108,22,6609,604,903,1402,303,3301,5905,4005,5804,1,6,2,707,9,8,2103,902,1304,1904,3807,2503,9902,8,305,309,3209,5907,675000,1606,807,903,102,1309,4003,909,1501,609,701,86,8509,902,409,5601,3606,608,5,0,5,305,31180
E01001887,Hammersmith and Fulham 016B,505,7509,1009,1106,16,1003,3803,2309,6804,409,1009,1101,407,3106,5905,4005,5607,101,202,5,606,3,7,2405,704,1109,1601,4305,2704,9904,6,206,309,2208,7007,380000,1704,704,807,104,1209,4305,807,1303,9,808,8202,8006,12,704,5909,3303,604,5,0,5,309,31808
E01001890,Hammersmith and Fulham 016C,307,8508,1301,809,1007,503,5604,1806,5709,402,2203,908,508,4201,4604,5306,5208,107,302,1,608,6,7,2606,705,807,1103,4901,2908,9704,206,4,105,1703,8007,321000,605,406,6,106,1402,5704,906,2102,306,307,9207,8909,702,3,7108,2209,4,103,0,3,405,35632
E01001892,Hammersmith and Fulham 016D,804,7309,701,906,1607,1707,3705,1805,6502,509,603,1605,601,3408,6008,3902,5405,102,6,3,902,3,7,2503,709,1006,17,5001,20,9809,101,101,1,1908,7801,420000,1707,808,1002,101,1204,4106,802,1108,806,707,8307,83,1004,606,5808,3405,508,7,2,5,304,30655
E01001880,Hammersmith and Fulham 017A,509,7502,1207,806,2109,904,44,1601,7407,403,901,703,405,2503,5808,4102,5708,103,7,7,507,4,2,2306,906,1208,1102,3804,3302,9501,409,3,103,703,9101,399950,1609,602,908,109,707,48,906,603,706,608,8506,8307,1007,506,6001,3504,307,4,4,5,501,36767
E01001881,Hammersmith and Fulham 017B,307,78,1103,1209,2504,805,2904,2308,8007,4,702,409,303,1903,5408,4502,59,106,104,4,306,1,7,2406,805,2203,1901,17,4005,9601,309,201,702,3309,5608,647250,905,507,604,8,809,5806,1001,804,504,5,8905,8805,707,308,5306,38,703,3,7,6,506,52187
E01001882,Hammersmith and Fulham 017C,402,8209,709,1201,2208,506,2903,3002,7706,308,902,506,309,2204,5306,4604,5504,108,104,5,502,3,2,27,801,1801,2501,11,4306,9306,604,106,404,34,60,555000,701,406,503,102,1008,6009,1002,904,3,403,9207,9109,6,201,5007,3709,1004,9,1,6,408,52500
E01001883,Hammersmith and Fulham 017D,502,7706,1302,607,1908,9,4301,2105,7002,505,1103,707,503,2908,5403,4507,5407,108,104,5,603,2,2,2507,902,909,1503,35,3701,9502,408,9,209,1309,8204,455000,1403,6,905,102,13,4508,1002,14,703,608,8509,8308,1004,508,6309,2906,509,0,7,4,607,34708
E01001884,Hammersmith and Fulham 017E,504,7404,801,709,1605,802,4803,19,6603,506,1109,1007,505,3307,5501,4409,5406,109,6,7,909,5,5,24,703,808,1102,4603,3001,9402,508,7,107,1109,8506,412070,1608,801,703,201,902,4504,11,1001,809,708,8303,8206,1006,607,6708,2709,4,3,0,4,606,34299
E01001888,Hammersmith and Fulham 018A,408,7505,908,1601,2301,7,2806,2502,8002,404,809,304,3,1908,6208,3702,5404,9,209,6,209,2,4,2809,808,2609,2905,1507,2306,9803,107,101,301,5506,4003,637500,1101,506,609,102,1301,5401,709,1308,603,608,8609,8603,905,402,4306,4508,902,102,2,7,307,47653
E01001891,Hammersmith and Fulham 018B,302,8409,1704,904,2005,406,3404,3101,7201,402,1401,407,409,2709,5008,4902,5008,201,107,7,6,3,6,3004,704,1708,1906,703,5302,9306,604,7,206,2606,7002,390000,704,404,502,9,1207,5902,1002,1703,3,401,93,9104,603,204,5801,3207,704,106,2,5,501,44278
E01001917,Hammersmith and Fulham 018C,303,6902,1009,1203,2105,803,4001,1708,8401,302,504,4,303,1509,6603,3307,6006,8,1,1,303,4,102,2208,809,1903,2308,2709,2603,9602,308,6,409,2408,6908,520000,1604,604,708,104,10,4905,805,8,702,807,8401,83,12,501,4701,4004,11,105,1,7,302,46207
E01001918,Hammersmith and Fulham 018D,408,7202,1005,2009,1903,9,2803,2205,8008,409,605,409,209,1902,6508,3402,6206,7,8,6,307,5,9,2204,708,2408,3301,1307,2404,9706,204,6,608,2402,6804,495000,1006,504,805,104,1104,5409,708,802,401,409,91,8903,607,309,35,4907,14,101,2,8,301,51437
E01001919,Hammersmith and Fulham 018E,404,6307,1403,2504,2109,606,3108,1404,8209,509,303,302,407,1701,6702,3208,65,6,2,1,402,1,7,1807,904,33,3002,1201,2106,94,6,102,1205,3206,5307,760000,908,609,808,103,1006,5408,707,602,5,507,8903,8807,704,309,3008,5002,1508,207,5,9,3,59872
E01001879,Hammersmith and Fulham 019A,706,7709,8,908,1704,1006,3807,2305,7206,506,608,1103,307,2704,5908,4002,5802,8,8,3,604,1,6,2402,805,1707,1609,3207,3008,9603,307,201,307,4202,5201,495750,15,705,8,106,13,4309,11,1103,707,603,86,8503,803,604,5505,3701,504,109,2,5,307,35330
E01001901,Hammersmith and Fulham 019B,501,7305,805,1903,2104,706,3402,1704,8306,502,409,304,209,1604,6307,3603,6208,5,3,102,507,1,3,2104,708,2409,2702,1308,3207,9202,708,105,301,5101,4404,873501,703,501,8,9,1108,5803,806,705,402,309,9109,9108,504,208,3808,4702,1207,102,1,8,307,59013
E01001902,Hammersmith and Fulham 019C,406,8008,703,806,2402,606,3601,2404,7908,401,602,609,301,2002,6009,3901,6005,8,103,4,407,2,6,2301,803,14,1904,2202,4208,9509,401,8,205,2706,6901,472500,1103,502,509,1,1209,5401,906,1001,602,608,87,8507,902,501,5209,3807,7,1,4,6,302,39484
E01001903,Hammersmith and Fulham 019D,702,7409,11,1208,1801,1501,3209,2101,6604,503,806,1108,709,3306,6005,3905,5901,7,7,3,1104,2,3,2005,609,1603,1509,3805,27,9708,202,103,407,2905,6405,427500,1607,709,802,101,1209,42,1102,1101,706,609,8504,8409,906,505,5206,3908,609,4,3,6,308,32297
E01001920,Hammersmith and Fulham 020A,704,7204,1605,704,1404,709,55,1505,7208,5,604,908,509,2702,5706,4204,57,9,8,103,709,0,9,2006,1008,1206,1104,4801,2506,9408,502,2,302,1001,8605,345000,1903,705,905,106,1201,40,1001,801,1106,1009,7705,7509,1402,908,6805,2704,306,2,2,4,509,32254
E01001921,Hammersmith and Fulham 020B,608,7409,908,1606,2007,704,3602,1902,8304,303,502,504,207,1606,6206,3704,6206,6,3,106,5,0,7,2104,709,21,2206,2202,3201,9203,707,109,808,3203,57,902500,11,503,705,7,1201,5508,706,706,406,409,9006,89,801,209,4806,37,1109,201,5,7,6,53498
E01001922,Hammersmith and Fulham 020C,503,6908,1901,1908,2207,609,3209,1707,8308,401,4,307,403,1602,6206,3704,6209,6,9,7,503,3,4,2102,707,34,2109,1208,2905,9502,408,108,407,5302,4001,1250876,7,509,908,5,1002,5705,9,408,209,505,9105,9109,507,204,3007,5103,1408,207,6,9,4,66015
E01001923,Hammersmith and Fulham 020D,309,7308,1103,1405,2104,902,3403,2005,7701,503,608,505,503,2209,63,37,5804,4,1,9,602,3,3,2401,804,21,2201,2509,2901,9505,405,102,803,39,5105,622500,1201,602,8,6,709,56,902,602,505,506,8809,8707,808,305,4107,4401,1108,108,6,8,502,53047
E01001924,Hammersmith and Fulham 020E,3,7005,908,24,1802,405,2803,25,8606,401,407,102,304,1304,5905,4005,63,9,103,104,401,0,4,1903,907,2706,3003,608,3209,9007,903,6,5,4104,53,970000,405,209,704,7,905,6504,907,504,203,301,9406,9403,406,101,3608,4106,1707,305,5,9,403,70788
E01001947,Hammersmith and Fulham 021A,1301,6809,505,1406,1204,2505,3201,1504,5009,804,806,2503,608,4901,6101,3809,5208,7,3,2,1903,3,3,1809,703,407,905,7204,1202,98,2,103,8,708,90,325000,2209,1108,905,105,1106,2906,1301,1004,809,809,8202,80,1201,709,6705,2803,306,5,2,4,407,23795
E01001948,Hammersmith and Fulham 021B,404,7502,1105,1401,2203,707,3709,18,7904,406,5,7,309,2006,6306,3604,5707,5,6,7,607,1,5,2507,703,19,2109,1502,3505,9501,409,4,205,2701,70,506250,608,5,603,102,907,6205,805,5,403,309,9108,9004,603,303,4901,4001,808,107,2,6,401,52878
E01001949,Hammersmith and Fulham 021C,4,7701,8,1804,2203,505,2903,2405,8902,302,302,203,2,1008,5806,4104,6303,1,4,101,203,1,1,2401,706,2002,2501,9,4303,9302,608,106,207,3103,6404,595000,408,302,702,1,1006,6402,9,602,201,307,9401,9208,505,107,4202,4402,1106,2,0,7,4,62049
E01001950,Hammersmith and Fulham 021D,307,7306,1008,2206,2404,407,2603,22,87,401,401,206,201,13,5804,4106,6402,5,3,1,306,1,1,2201,8,2505,2404,701,4001,9309,601,103,708,4008,5001,730000,408,309,5,1,806,6702,905,408,203,307,94,9305,405,2,3703,4809,1201,101,6,8,407,65418
E01001951,Hammersmith and Fulham 021E,5,7703,1003,1305,1907,707,3607,2204,7907,4,603,603,306,2003,61,39,6005,9,101,9,403,3,1,2306,804,1901,20,2308,3409,9508,402,106,406,22,7107,415000,807,503,704,5,802,6007,902,401,507,409,8904,8805,803,302,4901,4007,901,101,0,6,406,48993
E01001953,Hammersmith and Fulham 021F,608,7601,902,9,1702,1108,3504,2606,7103,5,803,907,507,2807,5408,4502,5409,8,102,9,1102,1,2,2301,707,903,1403,33,4108,9206,704,9,104,15,8205,552500,1409,706,609,104,804,4909,11,707,707,602,8601,8405,1006,409,6604,28,406,5,5,4,504,35213
E01001904,Hammersmith and Fulham 022A,405,7703,1401,1603,2402,404,3004,2407,8404,208,6,407,2,1506,6102,3808,6303,104,101,7,3,1,6,2207,702,2301,2902,908,3505,9509,401,104,204,3605,5907,565000,902,401,605,1,1107,6001,704,603,305,504,9101,9003,609,208,3904,48,1004,201,1,8,305,53985
E01001905,Hammersmith and Fulham 022B,206,7401,806,1608,2109,505,3107,2401,8408,408,508,304,102,1502,6103,3807,6109,8,102,6,104,1,2,2507,801,2201,2509,1309,3603,9606,304,8,307,3107,6308,528000,803,402,607,6,1004,6003,905,7,407,503,90,8907,705,208,42,4408,1105,105,3,7,305,56958
E01001906,Hammersmith and Fulham 022C,401,8108,603,1202,25,403,3101,2704,8203,403,608,404,201,1707,6208,3702,5805,102,7,4,502,3,1,2606,609,1904,2706,1403,3705,9705,205,9,208,3201,6402,475000,604,308,609,8,1004,6401,707,508,301,502,9107,9001,608,301,4205,4706,903,5,2,7,307,53757
