Codes,Names,Level_4_qualifications,Mean_Annual_Household_Income,Population_Density
E01003325,Lewisham 018D,1917,1565,1206.00 
E01003226,Lewisham 019A,3692,3435,2084.00 
E01003227,Lewisham 019B,3540,3821,3010.00 
E01003228,Lewisham 019C,3718,4024,1380.00 
E01003229,Lewisham 019D,2113,1368,2587.00 
E01003230,Lewisham 019E,3285,2352,2546.00 
E01003317,Lewisham 020A,2936,2145,4026.00 
E01003318,Lewisham 020B,2245,1434,3842.00 
E01003321,Lewisham 020C,2674,1863,1818.00 
E01003322,Lewisham 020D,2034,2217,1500.00 
E01003324,Lewisham 020E,1197,655,447.00 
E01003254,Lewisham 021A,3496,4368,3643.00 
E01003255,Lewisham 021B,4538,3406,2078.00 
E01003260,Lewisham 021C,3331,3750,2614.00 
E01003261,Lewisham 021D,2910,3719,2075.00 
E01003262,Lewisham 021E,2870,3514,1730.00 
E01003217,Lewisham 022A,2113,2625,1725.00 
E01003218,Lewisham 022B,1943,3140,1380.00 
E01003220,Lewisham 022C,2265,2569,2054.00 
E01003222,Lewisham 022D,1877,2221,2119.00 
E01003224,Lewisham 022E,2252,2609,1582.00 
E01003263,Lewisham 023A,1632,1698,3841.00 
E01003268,Lewisham 023B,2451,2711,3424.00 
E01003269,Lewisham 023C,1849,2347,2556.00 
E01003270,Lewisham 023D,2615,3439,3326.00 
E01003271,Lewisham 023E,2401,3923,3434.00 
E01003307,Lewisham 024A,2531,2833,1438.00 
E01003308,Lewisham 024B,3236,2957,1678.00 
E01003314,Lewisham 024C,3295,3615,1633.00 
E01003315,Lewisham 024D,2981,2966,1420.00 
E01003316,Lewisham 024E,2652,3565,1434.00 
E01003216,Lewisham 025A,2823,2948,2562.00 
E01003219,Lewisham 025B,2203,3043,2527.00 
E01003221,Lewisham 025C,2921,2311,3725.00 
E01003223,Lewisham 025D,2298,3252,3447.00 
E01003346,Lewisham 026A,344,1110,3799.00 
E01003349,Lewisham 026B,230,1084,1277.00 
E01003351,Lewisham 026C,194,740,2130.00 
E01003354,Lewisham 026D,1943,2253,3891.00 
E01003309,Lewisham 027A,1558,958,1691.00 
E01003310,Lewisham 027B,2801,1700,1710.00 
E01003311,Lewisham 027C,2831,3519,2177.00 
E01003312,Lewisham 027D,3449,3166,2336.00 
E01003313,Lewisham 027E,1744,1578,2875.00 
E01003256,Lewisham 028A,3852,1699,2704.00 
E01003257,Lewisham 028B,3077,2521,2641.00 
E01003258,Lewisham 028C,1072,845,955.00 
E01003259,Lewisham 028D,3460,3379,2474.00 
E01003193,Lewisham 029A,1216,1780,3812.00 
E01003194,Lewisham 029B,1141,1376,3692.00 
E01003195,Lewisham 029C,1648,2343,2304.00 
E01003196,Lewisham 029D,451,646,3178.00 
E01003197,Lewisham 029E,730,586,2570.00 
E01003347,Lewisham 030A,219,349,1398.00 
E01003348,Lewisham 030B,495,1671,3648.00 
E01003350,Lewisham 030C,243,921,2954.00 
E01003352,Lewisham 030D,962,1453,2714.00 
E01003353,Lewisham 030E,1507,2275,3107.00 
E01003264,Lewisham 031A,1515,2026,2772.00 
E01003265,Lewisham 031B,1012,1131,2822.00 
E01003266,Lewisham 031C,742,641,1906.00 
E01003267,Lewisham 031D,308,1071,3694.00 
E01003329,Lewisham 033A,2608,3097,2004.00 
E01003330,Lewisham 033B,1175,1278,3113.00 
E01003331,Lewisham 033C,1736,1932,1678.00 
E01003332,Lewisham 033D,2502,2158,2425.00 
E01003334,Lewisham 033E,2734,1927,1880.00 
E01003189,Lewisham 034A,423,610,2233.00 
E01003190,Lewisham 034B,1106,709,3671.00 
E01003191,Lewisham 034C,423,696,2327.00 
E01003192,Lewisham 034D,423,323,4660.00 
E01003326,Lewisham 035A,1708,2344,1277.00 
E01003327,Lewisham 035B,3295,3079,2459.00 
E01003328,Lewisham 035C,3320,2618,2233.00 
E01003333,Lewisham 035D,2277,2033,1061.00 
E01003335,Lewisham 035E,1141,1974,893.00 
E01003236,Lewisham 037A,329,956,2014.00 
E01003237,Lewisham 037B,222,620,3112.00 
E01003238,Lewisham 037C,123,995,1138.00 
E01003239,Lewisham 037D,123,955,2666.00 
E01032564,Lewisham 037E,71,834,1588.00 
E01003235,Lewisham 038A,434,2161,4264.00 
E01003240,Lewisham 038B,566,813,2522.00 
E01003241,Lewisham 038C,1040,1292,3350.00 
E01003243,Lewisham 038D,243,658,2982.00 
E01032565,Lewisham 038E,112,559,2625.00 
E01003298,Lewisham 039A,895,778,1268.00 
E01003300,Lewisham 039B,730,510,918.00 
E01003303,Lewisham 039C,1463,712,2686.00 
E01003304,Lewisham 039D,3427,539,1887.00 
E01032579,Lewisham 039E,2344,555,1975.00 
E01003543,Newham 001A,3702,2606,1803.00 
E01003544,Newham 001B,2365,1075,1576.00 
E01003546,Newham 001C,1693,781,873.00 
E01003550,Newham 001D,2410,1473,858.00 
E01003576,Newham 002A,1362,183,1369.00 
E01003581,Newham 002B,988,541,588.00 
E01003582,Newham 002C,800,447,343.00 
E01003583,Newham 002D,1474,558,527.00 
E01003578,Newham 003A,2034,446,4589.00 
E01003584,Newham 003B,2689,2856,3694.00 
E01003586,Newham 003C,1966,887,1516.00 
E01003590,Newham 003D,1488,869,3104.00 
E01003579,Newham 004A,1322,751,536.00 
E01003585,Newham 004B,1028,550,178.00 
E01003587,Newham 004C,3423,858,1755.00 
E01003591,Newham 004D,2720,207,1788.00 
E01003528,Newham 005A,705,301,245.00 
E01003575,Newham 005B,962,642,1483.00 
E01003577,Newham 005C,755,123,1975.00 
E01003580,Newham 005D,910,565,2718.00 
E01003545,Newham 006A,1849,1035,1875.00 
E01003548,Newham 006B,3427,1067,2812.00 
E01003549,Newham 006C,3268,966,925.00 
E01003557,Newham 006D,2720,1014,2006.00 
E01003547,Newham 007A,3392,3136,2039.00 
E01003555,Newham 007B,2492,2973,1853.00 
E01003561,Newham 007C,2286,666,248.00 
E01003567,Newham 007D,1819,433,533.00 
E01003556,Newham 008A,1911,601,1289.00 
E01003558,Newham 008B,1206,456,1533.00 
E01003570,Newham 008C,2277,407,603.00 
E01003571,Newham 008D,3006,622,647.00 
E01003572,Newham 008E,1206,1134,455.00 
E01003551,Newham 009A,2758,1525,479.00 
E01003553,Newham 009B,2223,528,629.00 
E01003554,Newham 009C,3092,2503,517.00 
E01003559,Newham 009D,4612,3072,1631.00 
E01003529,Newham 010A,3304,1186,910.00 
E01003530,Newham 010B,2652,1174,965.00 
E01003531,Newham 010C,2844,908,2703.00 
E01003532,Newham 010D,2879,1467,794.00 
E01003534,Newham 010E,2741,753,1274.00 
E01003533,Newham 011A,2130,924,833.00 
E01003560,Newham 011B,1668,537,245.00 
E01003563,Newham 011C,1957,665,412.00 
E01003588,Newham 011D,1622,393,197.00 
E01003589,Newham 011E,2197,953,1281.00 
E01003616,Newham 012A,2440,977,1451.00 
E01003617,Newham 012B,4688,2350,2852.00 
E01003618,Newham 012C,4213,2600,1720.00 
E01003619,Newham 012D,4194,1802,3073.00 
E01003615,Newham 013C,2265,1364,712.00 
E01033578,Newham 013E,2946,2613,4392.00 
E01033579,Newham 013F,3561,3309,4148.00 
E01033583,Newham 013G,4665,2205,4750.00 
E01033586,Newham 013H,2089,1979,4523.00 
E01003562,Newham 014A,2936,741,536.00 
E01003564,Newham 014B,3482,916,735.00 
E01003565,Newham 014C,2467,876,402.00 
E01003566,Newham 014D,1990,699,506.00 
E01003625,Newham 015A,1528,728,3622.00 
E01003626,Newham 015B,2106,1559,601.00 
E01003627,Newham 015C,1905,864,209.00 
E01003628,Newham 015D,2265,1860,444.00 
E01003629,Newham 015E,1600,718,119.00 
E01003552,Newham 016A,1728,1654,679.00 
E01003596,Newham 016B,2009,1461,793.00 
E01003597,Newham 016C,1072,1036,398.00 
E01003635,Newham 016D,2936,2321,4021.00 
E01003568,Newham 017A,3006,987,752.00 
E01003569,Newham 017B,2883,485,642.00 
E01003573,Newham 017C,2559,841,556.00 
E01003574,Newham 017D,3595,706,2201.00 
E01003520,Newham 018A,3148,769,1151.00 
E01003521,Newham 018B,4063,1140,1248.00 
E01003522,Newham 018C,2373,946,233.00 
E01003525,Newham 018D,2748,1259,1129.00 
E01003526,Newham 018E,2078,880,695.00 
E01003488,Newham 019A,973,196,1145.00 
E01003489,Newham 019B,1206,85,1001.00 
E01003490,Newham 019C,1831,459,570.00 
E01003524,Newham 019D,2313,284,384.00 
E01003631,Newham 020A,2623,1502,1803.00 
E01003632,Newham 020B,2780,1731,1268.00 
E01003633,Newham 020C,1197,190,492.00 
E01003634,Newham 020D,1587,422,1445.00 
E01003636,Newham 020E,1990,668,2306.00 
E01003598,Newham 021A,1642,318,164.00 
E01003600,Newham 021B,1243,506,756.00 
E01003630,Newham 021C,2236,656,638.00 
E01003637,Newham 021D,2844,1679,458.00 
E01003491,Newham 022A,2926,216,623.00 
E01003592,Newham 022B,1819,698,1465.00 
E01003599,Newham 022C,1191,401,1206.00 
E01003606,Newham 022D,2027,855,1786.00 
E01003535,Newham 023A,413,238,4276.00 
E01003536,Newham 023B,1378,1363,1975.00 
E01003621,Newham 023C,1062,1120,131.00 
E01003622,Newham 023D,1141,599,2947.00 
E01003623,Newham 023E,1062,385,3226.00 
E01003523,Newham 024A,2173,697,2455.00 
E01003527,Newham 024B,1857,2520,1777.00 
E01003537,Newham 024C,2034,1552,2275.00 
E01003542,Newham 024D,779,377,1212.00 
E01003624,Newham 024E,910,796,1401.00 
E01003492,Newham 025A,2085,1077,468.00 
E01003493,Newham 025B,2844,833,1343.00 
E01003494,Newham 025C,2381,2124,662.00 
E01003495,Newham 025D,2419,2743,928.00 
E01003594,Newham 026A,1715,822,867.00 
E01003595,Newham 026B,1028,395,441.00 
E01003602,Newham 026C,2113,808,941.00 
E01003607,Newham 026D,1322,649,1061.00 
E01003496,Newham 027A,1866,948,2207.00 
E01003498,Newham 027B,1446,394,2860.00 
E01003500,Newham 027C,1612,758,4534.00 
E01003593,Newham 027D,824,354,730.00 
E01003601,Newham 028A,1409,613,3844.00 
E01003603,Newham 028B,1668,1433,2405.00 
E01003605,Newham 028C,1966,384,672.00 
E01003608,Newham 028D,2391,2073,446.00 
E01003538,Newham 029A,1668,509,1957.00 
E01003539,Newham 029B,2265,1351,3021.00 
E01003540,Newham 029C,597,475,2488.00 
E01003541,Newham 029D,1116,1247,1732.00 
E01003499,Newham 030A,1340,137,1889.00 
E01003501,Newham 030B,1008,408,1689.00 
E01003502,Newham 030C,1322,322,1541.00 
E01003503,Newham 030D,1040,256,1487.00 
E01003507,Newham 031A,1911,670,1378.00 
E01003508,Newham 031B,689,410,1160.00 
E01003509,Newham 031C,1012,414,635.00 
E01003604,Newham 031D,1966,793,2688.00 
E01003483,Newham 032A,641,839,2992.00 
E01003484,Newham 032B,1842,2553,579.00 
E01003516,Newham 032C,696,321,1220.00 
E01003518,Newham 032D,1340,2653,2070.00 
E01003519,Newham 032E,1156,877,99.00 
E01003480,Newham 033A,2078,1808,3349.00 
E01003482,Newham 033B,4308,3002,4808.00 
E01003486,Newham 033C,108,176,2647.00 
E01003487,Newham 033D,222,609,1037.00 
E01003497,Newham 034A,705,504,4503.00 
E01003506,Newham 034D,443,390,674.00 
E01033574,Newham 034F,3823,4191,1206.00 
E01033575,Newham 034G,3540,3971,1620.00 
E01033576,Newham 034H,2959,2764,3951.00 
E01033584,Newham 034I,883,490,1540.00 
E01033585,Newham 034J,3223,767,3422.00 
E01003479,Newham 035A,1266,1992,3506.00 
E01003481,Newham 035B,1028,1046,4322.00 
E01003485,Newham 035C,1175,2277,1570.00 
E01003513,Newham 035D,1668,2783,3860.00 
E01003511,Newham 036A,112,302,427.00 
E01003512,Newham 036B,730,604,1128.00 
E01003514,Newham 036C,465,553,2031.00 
E01003515,Newham 036D,1175,353,4545.00 
E01003517,Newham 036E,846,750,3252.00 
E01003609,Newham 037A,4231,2598,4630.00 
E01003611,Newham 037C,1166,399,1524.00 
E01033577,Newham 037E,3304,4008,4482.00 
E01033580,Newham 037F,4255,4357,319.00 
E01033581,Newham 037G,1917,1879,4717.00 
E01033582,Newham 037H,3570,3783,1760.00 
E01004029,Southwark 001A,4615,4059,707.00 
E01004032,Southwark 001B,4655,4472,1256.00 
E01004053,Southwark 001C,4742,4524,1487.00 
E01004054,Southwark 001D,4651,4505,1017.00 
E01004055,Southwark 001E,230,1553,2317.00 
E01003927,Southwark 002A,4786,3419,3337.00 
E01003929,Southwark 002B,4795,3812,2875.00 
E01003934,Southwark 002C,3670,3732,2887.00 
E01003935,Southwark 002D,2480,3445,1350.00 
E01003939,Southwark 002E,4643,3402,1598.00 
E01003976,Southwark 003A,4049,2430,953.00 
E01004027,Southwark 003E,4618,2726,3505.00 
E01032637,Southwark 003F,4693,4711,14.00 
E01032638,Southwark 003G,4444,4766,16.00 
E01032640,Southwark 003H,4609,4733,23.00 
E01032646,Southwark 003I,4647,4334,1011.00 
E01032803,Southwark 003J,4547,4445,86.00 
E01032834,Southwark 003K,4395,4767,9.00 
E01003975,Southwark 004A,1678,945,288.00 
E01003978,Southwark 004B,4255,2754,1302.00 
E01004022,Southwark 004C,4579,2206,2844.00 
E01004023,Southwark 004D,2147,1644,829.00 
E01004028,Southwark 004E,2801,1722,948.00 
E01003938,Southwark 006A,3876,1961,225.00 
E01003940,Southwark 006B,1819,1038,48.00 
E01003941,Southwark 006C,4639,3560,453.00 
E01003942,Southwark 006D,3029,1159,939.00 
E01003979,Southwark 006E,3711,2695,1829.00 
E01003981,Southwark 006F,3838,2200,2222.00 
E01004030,Southwark 007A,3362,2482,456.00 
E01004031,Southwark 007B,3964,2342,4113.00 
E01004033,Southwark 007C,2365,1416,1446.00 
E01004034,Southwark 007D,1457,1204,1177.00 
E01004036,Southwark 007E,2323,710,503.00 
E01004056,Southwark 008A,4559,3616,2184.00 
E01004057,Southwark 008B,3354,3617,2973.00 
E01004058,Southwark 008C,4785,4600,1345.00 
E01004059,Southwark 008D,4709,4423,3593.00 
E01004060,Southwark 008E,3802,2126,517.00 
E01003936,Southwark 009A,4657,4604,459.00 
E01003937,Southwark 009B,4470,3316,488.00 
E01003943,Southwark 009C,1402,897,88.00 
E01032720,Southwark 009F,2801,1169,1883.00 
E01003977,Southwark 010A,1632,922,1131.00 
E01004037,Southwark 010B,3122,1397,1506.00 
E01004038,Southwark 010C,3452,1968,2602.00 
E01004042,Southwark 010D,1191,472,1495.00 
E01004043,Southwark 010E,1457,2185,945.00 
E01003986,Southwark 011A,303,304,2066.00 
E01003987,Southwark 011B,1397,684,1276.00 
E01004024,Southwark 011C,2020,400,960.00 
E01004035,Southwark 011D,1340,732,2731.00 
E01003960,Southwark 012A,3590,1868,1082.00 
E01003961,Southwark 012B,2153,458,950.00 
E01003994,Southwark 012E,2142,993,1363.00 
E01032722,Southwark 012F,3678,1478,2311.00 
E01003980,Southwark 013A,2844,1286,2275.00 
E01004039,Southwark 013B,2615,1849,341.00 
E01004040,Southwark 013C,1966,218,760.00 
E01004041,Southwark 013D,1081,784,216.00 
E01004044,Southwark 013E,658,1076,151.00 
E01003992,Southwark 014A,1175,890,188.00 
E01003995,Southwark 014B,2419,1619,110.00 
E01003998,Southwark 014D,3176,3110,453.00 
E01003999,Southwark 014E,2508,1857,377.00 
E01032639,Southwark 014F,3829,2379,393.00 
E01032719,Southwark 014G,1657,1531,17.00 
E01003964,Southwark 015A,2792,1742,4160.00 
E01003966,Southwark 015B,2277,866,599.00 
E01003968,Southwark 015C,538,281,45.00 
E01003971,Southwark 015D,721,211,107.00 
E01003974,Southwark 015E,243,443,59.00 
E01003963,Southwark 016A,1156,359,77.00 
E01003967,Southwark 016B,1266,257,67.00 
E01003970,Southwark 016C,742,611,2365.00 
E01003972,Southwark 016D,2335,1439,177.00 
E01003973,Southwark 016E,1693,950,386.00 
E01003923,Southwark 017A,3629,2470,928.00 
E01003969,Southwark 017B,3392,1967,3345.00 
E01003991,Southwark 017C,558,396,236.00 
E01003993,Southwark 017D,1276,779,346.00 
E01003997,Southwark 017E,1966,2155,211.00 
E01003983,Southwark 018A,1166,296,897.00 
E01003988,Southwark 018B,2644,651,3987.00 
E01003989,Southwark 018C,1849,600,2997.00 
E01003990,Southwark 018D,2536,826,1401.00 
E01004007,Southwark 018E,285,554,250.00 
E01003912,Southwark 019A,824,329,288.00 
E01004011,Southwark 019B,2323,690,825.00 
E01004012,Southwark 019C,3802,1605,1353.00 
E01004013,Southwark 019D,1488,795,641.00 
E01004014,Southwark 019E,1693,657,427.00 
E01003911,Southwark 020A,3205,1561,798.00 
E01003916,Southwark 020B,3983,2074,1550.00 
E01003917,Southwark 020C,3223,1954,790.00 
E01003918,Southwark 020D,1303,694,358.00 
E01003925,Southwark 020E,689,962,384.00 
E01003919,Southwark 021A,3552,2450,1522.00 
E01003920,Southwark 021B,2286,632,362.00 
E01003921,Southwark 021C,1728,1082,942.00 
E01003922,Southwark 021D,2895,1305,1307.00 
E01003924,Southwark 021E,2009,398,245.00 
E01003926,Southwark 021F,1340,1139,692.00 
E01004008,Southwark 022B,2545,873,567.00 
E01004010,Southwark 022D,1657,1177,1120.00 
E01004067,Southwark 022E,2990,1257,2852.00 
E01032805,Southwark 022F,3025,733,1966.00 
E01003984,Southwark 023A,3343,1326,1790.00 
E01004003,Southwark 023B,1587,875,1076.00 
E01004004,Southwark 023C,4359,1635,2302.00 
E01004005,Southwark 023D,2748,621,1609.00 
E01004006,Southwark 023E,3268,1824,1566.00 
E01003913,Southwark 024A,4291,3712,2887.00 
E01003914,Southwark 024B,4063,3224,1454.00 
E01003915,Southwark 024C,3384,1759,509.00 
E01004050,Southwark 024D,4175,4104,2142.00 
E01004052,Southwark 024E,4490,4057,1937.00 
E01004061,Southwark 025A,4251,3838,2518.00 
E01004062,Southwark 025B,3452,1809,1816.00 
E01004063,Southwark 025C,4400,3238,1994.00 
E01004065,Southwark 025D,3795,3973,802.00 
E01004066,Southwark 025E,3947,2087,1395.00 
E01004000,Southwark 026A,2917,1630,1751.00 
E01004001,Southwark 026B,1409,1041,2293.00 
E01004019,Southwark 026C,4170,2499,1263.00 
E01004064,Southwark 026D,2523,1432,1769.00 
E01004068,Southwark 026E,2570,1332,2184.00 
E01004045,Southwark 027A,1106,999,99.00 
E01004047,Southwark 027B,1331,933,579.00 
E01004048,Southwark 027C,3491,3575,4051.00 
E01004049,Southwark 027D,2216,1923,700.00 
E01004051,Southwark 027E,4036,4184,1555.00 
E01003953,Southwark 028A,4760,4028,2403.00 
E01003955,Southwark 028B,4418,3834,1321.00 
E01004015,Southwark 028C,3790,3962,4399.00 
E01004021,Southwark 028D,4781,3897,1576.00 
E01004046,Southwark 028E,4245,3990,1490.00 
E01004002,Southwark 029A,3268,3481,3744.00 
E01004016,Southwark 029B,4233,3095,4396.00 
E01004017,Southwark 029C,3441,4019,3853.00 
E01004020,Southwark 029D,2307,1568,2300.00 
E01003952,Southwark 030A,4187,4242,1178.00 
E01003954,Southwark 030B,4026,4081,578.00 
E01003956,Southwark 030C,4326,4285,853.00 
E01004071,Southwark 030D,3601,3718,1059.00 
E01004072,Southwark 030E,4372,4679,3322.00 
E01004069,Southwark 031A,3829,4786,4621.00 
E01004070,Southwark 031B,4592,4429,3636.00 
E01004073,Southwark 031C,4692,4663,2355.00 
E01004074,Southwark 031D,4562,4706,3844.00 
E01004075,Southwark 031E,4646,4795,4418.00 
E01003949,Southwark 032A,4376,4020,2771.00 
E01003950,Southwark 032B,2926,1572,2989.00 
E01003957,Southwark 032C,4111,4147,1859.00 
E01003958,Southwark 032D,3696,3924,1698.00 
E01004018,Southwark 032E,4473,4233,3206.00 
E01003945,Southwark 033A,4284,4338,4594.00 
E01003946,Southwark 033B,3898,4102,4202.00 
E01003947,Southwark 033C,1129,892,1328.00 
E01003948,Southwark 033D,3778,3786,3183.00 
E01003951,Southwark 033E,3514,4542,4671.00 
E01003930,Southwark 034A,2419,2271,707.00 
E01003932,Southwark 034B,2748,1296,991.00 
E01003933,Southwark 034C,3505,3052,2686.00 
E01032583,Southwark 034D,3148,2464,1580.00 
E01032584,Southwark 034E,2725,2417,358.00 
E01004222,Tower Hamlets 001A,2674,1436,1295.00 
E01004223,Tower Hamlets 001B,2720,2491,4422.00 
E01004224,Tower Hamlets 001C,3279,2307,4145.00 
E01004226,Tower Hamlets 001D,1943,2018,442.00 
E01004197,Tower Hamlets 002A,4308,2908,1881.00 
E01004198,Tower Hamlets 002B,1744,1643,472.00 
E01004199,Tower Hamlets 002C,779,1215,144.00 
E01004201,Tower Hamlets 002D,2823,2898,1140.00 
E01004228,Tower Hamlets 003A,4063,4254,1082.00 
E01004230,Tower Hamlets 003B,3718,2624,1681.00 
E01004232,Tower Hamlets 003C,4341,4563,2264.00 
E01004233,Tower Hamlets 003D,1857,1807,310.00 
E01004234,Tower Hamlets 003E,4688,4389,4403.00 
E01004225,Tower Hamlets 004A,4830,4443,1055.00 
E01004229,Tower Hamlets 004C,2460,2505,633.00 
E01004231,Tower Hamlets 004D,1930,1798,719.00 
E01032764,Tower Hamlets 004E,3392,3479,3662.00 
E01032765,Tower Hamlets 004F,2545,2602,271.00 
E01032784,Tower Hamlets 004G,3725,3099,116.00 
E01004200,Tower Hamlets 005A,3876,3267,62.00 
E01004202,Tower Hamlets 005B,3936,3173,798.00 
E01004203,Tower Hamlets 005C,3552,2689,652.00 
E01004204,Tower Hamlets 005D,1536,1756,325.00 
E01004311,Tower Hamlets 006A,2401,1753,328.00 
E01004314,Tower Hamlets 006B,3036,4589,312.00 
E01004315,Tower Hamlets 006C,3324,2814,481.00 
E01004318,Tower Hamlets 006D,1990,2198,73.00 
E01004259,Tower Hamlets 007A,4010,3149,1199.00 
E01004260,Tower Hamlets 007B,2485,1997,527.00 
E01004263,Tower Hamlets 007C,434,1459,284.00 
E01004266,Tower Hamlets 007D,2748,2881,292.00 
E01004235,Tower Hamlets 008A,533,1287,13.00 
E01004236,Tower Hamlets 008B,597,940,598.00 
E01004237,Tower Hamlets 008C,1206,2148,120.00 
E01004238,Tower Hamlets 008D,3992,2056,3851.00 
E01004239,Tower Hamlets 008E,465,1750,685.00 
E01004312,Tower Hamlets 009A,1682,1288,141.00 
E01004313,Tower Hamlets 009B,3514,2227,292.00 
E01004316,Tower Hamlets 009C,1749,2422,9.00 
E01004317,Tower Hamlets 009D,4831,3930,3210.00 
E01004261,Tower Hamlets 010A,1819,720,1813.00 
E01004262,Tower Hamlets 010B,1883,1806,1477.00 
E01004264,Tower Hamlets 010C,818,937,89.00 
E01032785,Tower Hamlets 010E,3887,4174,175.00 
E01032786,Tower Hamlets 010F,2236,2366,68.00 
E01004207,Tower Hamlets 011A,1715,1836,140.00 
E01004209,Tower Hamlets 011B,395,1418,259.00 
E01004212,Tower Hamlets 011D,3104,1930,374.00 
E01032787,Tower Hamlets 011F,2698,1534,672.00 
E01004240,Tower Hamlets 012A,916,1191,355.00 
E01004241,Tower Hamlets 012B,641,1271,881.00 
E01004242,Tower Hamlets 012C,3108,2032,2387.00 
E01004267,Tower Hamlets 012D,3688,2687,2546.00 
E01004268,Tower Hamlets 012E,1303,1179,40.00 
E01004205,Tower Hamlets 013A,1905,1176,1226.00 
E01004206,Tower Hamlets 013B,995,499,219.00 
E01004208,Tower Hamlets 013C,4503,3416,1741.00 
E01004211,Tower Hamlets 013D,3992,3182,1790.00 
E01004269,Tower Hamlets 014A,2995,1748,1634.00 
E01004270,Tower Hamlets 014B,4347,2990,3424.00 
E01004271,Tower Hamlets 014C,658,1719,487.00 
E01004272,Tower Hamlets 014D,618,722,468.00 
E01004273,Tower Hamlets 014E,934,1258,1853.00 
E01004306,Tower Hamlets 015A,3964,3503,982.00 
E01004307,Tower Hamlets 015B,4829,4594,2602.00 
E01004308,Tower Hamlets 015C,2353,2597,312.00 
E01004309,Tower Hamlets 015D,4047,2125,1087.00 
E01004310,Tower Hamlets 015E,3664,2329,432.00 
E01004283,Tower Hamlets 016A,2536,1741,1555.00 
E01004287,Tower Hamlets 016B,2559,1724,338.00 
E01004289,Tower Hamlets 016C,2203,1922,645.00 
E01004290,Tower Hamlets 016D,2552,2850,603.00 
E01004322,Tower Hamlets 017A,1293,2159,1373.00 
E01004323,Tower Hamlets 017B,2313,2388,156.00 
E01004324,Tower Hamlets 017C,1081,1475,208.00 
E01004326,Tower Hamlets 017D,2353,2160,316.00 
E01004245,Tower Hamlets 018A,60,715,2568.00 
E01004246,Tower Hamlets 018B,2995,2512,2414.00 
E01004248,Tower Hamlets 018C,40,669,690.00 
E01004249,Tower Hamlets 018D,1206,1265,2108.00 
E01004284,Tower Hamlets 019A,3903,2714,2230.00 
E01004285,Tower Hamlets 019B,1020,1148,1042.00 
E01004286,Tower Hamlets 019C,2831,2361,1647.00 
E01004288,Tower Hamlets 019D,533,1300,610.00 
E01004243,Tower Hamlets 020A,806,1187,878.00 
E01004244,Tower Hamlets 020B,930,1322,1281.00 
E01004247,Tower Hamlets 020C,1266,1137,936.00 
E01004250,Tower Hamlets 020D,1515,1375,561.00 
E01004319,Tower Hamlets 021A,2277,1609,396.00 
E01004321,Tower Hamlets 021C,2936,2052,635.00 
E01004325,Tower Hamlets 021D,4822,3880,1256.00 
E01032766,Tower Hamlets 021E,3552,4182,265.00 
E01032767,Tower Hamlets 021F,4766,4652,1213.00 
E01004298,Tower Hamlets 022A,1786,1669,430.00 
E01004300,Tower Hamlets 022B,566,1421,42.00 
E01004304,Tower Hamlets 022C,1905,1485,610.00 
E01004305,Tower Hamlets 022D,1857,1369,415.00 
E01004251,Tower Hamlets 023A,2189,1606,1097.00 
E01004254,Tower Hamlets 023B,4828,4654,1894.00 
E01004255,Tower Hamlets 023C,2078,1895,456.00 
E01004258,Tower Hamlets 023D,3725,4541,510.00 
E01004252,Tower Hamlets 024A,4056,2316,1730.00 
E01004253,Tower Hamlets 024B,1775,1380,1591.00 
E01004256,Tower Hamlets 024C,1072,1400,1409.00 
E01004257,Tower Hamlets 024D,995,1264,1061.00 
E01004301,Tower Hamlets 025B,1090,1712,288.00 
E01004302,Tower Hamlets 025C,1749,1438,34.00 
E01004303,Tower Hamlets 025D,3887,3163,2691.00 
E01032768,Tower Hamlets 025E,4498,4723,155.00 
E01032769,Tower Hamlets 025F,3529,4492,612.00 
E01004292,Tower Hamlets 026A,4768,4774,1527.00 
E01004294,Tower Hamlets 026B,4358,4369,2583.00 
E01004295,Tower Hamlets 026C,696,1402,276.00 
E01004296,Tower Hamlets 026D,2995,2795,1224.00 
E01004291,Tower Hamlets 027A,4753,4662,860.00 
E01004293,Tower Hamlets 027B,4818,4755,3674.00 
E01004297,Tower Hamlets 027C,4763,4763,960.00 
E01004215,Tower Hamlets 028A,4733,3411,3499.00 
E01004219,Tower Hamlets 028B,3725,2257,2353.00 
E01004221,Tower Hamlets 028D,4213,4166,1195.00 
E01032776,Tower Hamlets 028E,3692,4631,264.00 
E01032777,Tower Hamlets 028F,2814,4227,860.00 
E01032778,Tower Hamlets 028G,3683,4486,3589.00 
E01032779,Tower Hamlets 028H,3199,4509,5.00 
E01032780,Tower Hamlets 028I,4543,4761,3833.00 
E01004214,Tower Hamlets 030A,504,1243,133.00 
E01004216,Tower Hamlets 030B,3829,4132,409.00 
E01004217,Tower Hamlets 030C,2965,3368,4081.00 
E01004218,Tower Hamlets 030D,4044,4432,1480.00 
E01004274,Tower Hamlets 031A,3111,3093,334.00 
E01004275,Tower Hamlets 031B,3702,4110,1307.00 
E01004276,Tower Hamlets 031C,4822,4788,280.00 
E01004281,Tower Hamlets 031D,4666,4614,1059.00 
E01032775,Tower Hamlets 031F,3678,4705,8.00 
E01032783,Tower Hamlets 031G,3760,4197,297.00 
E01004280,Tower Hamlets 032A,3658,3557,1251.00 
E01032770,Tower Hamlets 032B,3582,4322,21.00 
